 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu= 4.092E+00 kf=2.491E+00 Vint=-1.954E+01 Rs_int= 1.456
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   13      icalc       2
 -----------------------------------------------------------------------
   3   8.000   3.6946    2.2389    4.09194 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
    -2.3392   -2.3392    1.5038  1  40 Zr    
    -0.8562   -0.8562    1.0647  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  1.400  1.1320E+01  2.9031E-01 -2.1176E+01  1.011E+00  6.7400E+01  2.8447E+00
  1.500  1.1296E+01  2.9795E-01 -2.1479E+01  1.012E+00  6.2284E+01  2.8941E+00
  1.600  1.1269E+01  3.0625E-01 -2.1753E+01  1.014E+00  5.7250E+01  2.9464E+00
  1.700  1.1240E+01  3.1581E-01 -2.1999E+01  1.017E+00  5.2437E+01  3.0014E+00
  1.800  1.1207E+01  3.2712E-01 -2.2220E+01  1.019E+00  4.7942E+01  3.0591E+00
  1.900  1.1173E+01  3.4046E-01 -2.2417E+01  1.022E+00  4.3825E+01  3.1194E+00
  2.000  1.1135E+01  3.5583E-01 -2.2594E+01  1.024E+00  4.0115E+01  3.1824E+00
  2.200  1.1052E+01  3.9069E-01 -2.2898E+01  1.030E+00  3.3917E+01  3.3162E+00
  2.400  1.0957E+01  4.2314E-01 -2.3141E+01  1.035E+00  2.9243E+01  3.4607E+00
  2.600  1.0851E+01  4.2861E-01 -2.3378E+01  1.039E+00  2.5918E+01  3.6162E+00
