 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu= 4.092E+00 kf=2.491E+00 Vint=-1.954E+01 Rs_int= 1.456
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    8      icalc       2
 -----------------------------------------------------------------------
   2   4.000   3.3160    2.2389    4.09194 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
    -1.4831    1.4831    2.5684  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  7.000  9.4499E+00  2.0756E-01 -2.3585E+01  1.030E+00  9.1552E+00  7.3177E+00
  7.500  9.2902E+00  1.7652E-01 -2.3880E+01  1.020E+00  9.9047E+00  7.7886E+00
  8.000  9.1358E+00  1.5282E-01 -2.4159E+01  1.010E+00  1.0705E+01  8.2639E+00
  8.500  8.9943E+00  1.3499E-01 -2.4420E+01  9.995E-01  1.1552E+01  8.7429E+00
  9.000  8.8686E+00  1.2040E-01 -2.4654E+01  9.904E-01  1.2442E+01  9.2247E+00
  9.500  8.7558E+00  1.0712E-01 -2.4861E+01  9.832E-01  1.3373E+01  9.7089E+00
 10.000  8.6491E+00  9.4582E-02 -2.5048E+01  9.783E-01  1.4344E+01  1.0195E+01
 11.000  8.4386E+00  7.4720E-02 -2.5399E+01  9.714E-01  1.6396E+01  1.1172E+01
 12.000  8.2274E+00  6.2841E-02 -2.5720E+01  9.613E-01  1.8589E+01  1.2154E+01
 13.000  8.0463E+00  5.2551E-02 -2.5991E+01  9.513E-01  2.0917E+01  1.3139E+01
 14.000  7.8839E+00  4.2406E-02 -2.6241E+01  9.459E-01  2.3375E+01  1.4126E+01
 15.000  7.7250E+00  3.4725E-02 -2.6466E+01  9.434E-01  2.5958E+01  1.5116E+01
 16.000  7.5790E+00  2.7381E-02 -2.6629E+01  9.412E-01  2.8663E+01  1.6107E+01
 17.000  7.4509E+00  1.8948E-02 -2.6710E+01  9.401E-01  3.1488E+01  1.7099E+01
 18.000  7.3291E+00  1.2313E-02 -2.6632E+01  9.404E-01  3.4428E+01  1.8093E+01
 19.000  7.2125E+00  9.3985E-03 -2.6339E+01  9.410E-01  3.7483E+01  1.9087E+01
 20.000  7.1075E+00  8.7718E-03 -2.5984E+01  9.414E-01  4.0650E+01  2.0082E+01
