# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    694.50      2.00     2   2.4277
#           3       0.00000    164.10      2.00     2   3.2308
#           4       0.00000    323.50      4.00     2   3.2413
#           5       0.00000      5.14      4.00     3   3.2437
#           6       0.00000      6.37      4.00     3   3.2582
#           7       0.00000    151.90      2.00     2   3.2872
#           8       0.00000     91.99      8.00     3   3.7075
#           9       0.00000    117.40      8.00     3   3.7101
#          10       0.00000      8.22      4.00     2   3.8035
#          11       0.00000     15.81      8.00     3   3.8061
#          15       0.00000      8.31      4.00     4   3.8088
#          16       0.00000     26.67      8.00     3   3.8655
#          17       0.00000     25.51      8.00     3   3.8885
#          18       0.00000     37.33      8.00     3   3.9121
#          19       0.00000     36.98      8.00     3   3.9173
#    16/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     3.8500   -3.833771E-02  6.924657E-02  1.001151E+01
     3.9000   -4.631064E-02  6.821866E-02  1.017098E+01
     3.9500   -5.276696E-02  6.717617E-02  1.032828E+01
     4.0000   -5.767446E-02  6.617459E-02  1.048313E+01
     4.0500   -6.207829E-02  6.610854E-02  1.064459E+01
     4.1000   -6.491497E-02  6.610378E-02  1.080564E+01
     4.1500   -6.616868E-02  6.619665E-02  1.096650E+01
     4.2000   -6.584041E-02  6.641838E-02  1.112759E+01
     4.2500   -6.425158E-02  6.737240E-02  1.130114E+01
     4.3000   -6.062375E-02  6.838267E-02  1.147657E+01
     4.3500   -5.492689E-02  6.945267E-02  1.165417E+01
     4.4000   -4.717989E-02  7.058002E-02  1.183423E+01
     4.4500   -3.705367E-02  7.203581E-02  1.202609E+01
     4.5000   -2.489263E-02  7.344707E-02  1.222060E+01
     4.5500   -1.107070E-02  7.480167E-02  1.241782E+01
     4.6000    3.910151E-03  7.608524E-02  1.261778E+01
     4.6500    1.998903E-02  7.750252E-02  1.282723E+01
     4.7000    3.585757E-02  7.877135E-02  1.303898E+01
     4.7500    5.063613E-02  7.987929E-02  1.325297E+01
     4.8000    6.344269E-02  8.081393E-02  1.346914E+01
     4.8500    7.385402E-02  8.179793E-02  1.369280E+01
     4.9000    8.059910E-02  8.256801E-02  1.391835E+01
     4.9500    8.310952E-02  8.311255E-02  1.414571E+01
     5.0000    8.107651E-02  8.342128E-02  1.437482E+01
     5.0500    7.460898E-02  8.370338E-02  1.460765E+01
     5.1000    6.382829E-02  8.382350E-02  1.484240E+01
     5.1500    4.919167E-02  8.369949E-02  1.507973E+01
     5.2000    3.154181E-02  8.322329E-02  1.531925E+01
     5.2500    1.207587E-02  8.278292E-02  1.556157E+01
     5.3000   -7.948969E-03  8.209416E-02  1.580494E+01
     5.3500   -2.717400E-02  8.116227E-02  1.604937E+01
     5.4000   -4.429797E-02  7.999378E-02  1.629485E+01
     5.4500   -5.843036E-02  7.868727E-02  1.654485E+01
     5.5000   -6.832676E-02  7.715403E-02  1.679572E+01
     5.5500   -7.339748E-02  7.540515E-02  1.704748E+01
     5.6000   -7.343589E-02  7.345274E-02  1.730018E+01
     5.6500   -6.872062E-02  7.143681E-02  1.755540E+01
     5.7000   -5.964445E-02  6.923954E-02  1.781149E+01
     5.7500   -4.708142E-02  6.687521E-02  1.806852E+01
     5.8000   -3.214639E-02  6.435880E-02  1.832655E+01
     5.8500   -1.605703E-02  6.178306E-02  1.858664E+01
     5.9000   -1.082276E-04  5.908055E-02  1.884772E+01
     5.9500    1.448450E-02  5.626731E-02  1.910991E+01
     6.0000    2.668893E-02  5.335979E-02  1.937335E+01
     6.0500    3.586574E-02  5.046499E-02  1.964006E+01
