# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.009E+00 kf=2.107E+00 Vint=-1.992E+01 Rs_int= 1.722
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    935.80      2.00     2   2.4277
#           3       0.00000    234.00      2.00     2   3.2308
#           4       0.00000    461.10      4.00     2   3.2413
#           6       0.00000      4.54      4.00     3   3.2582
#           7       0.00000    216.20      2.00     2   3.2872
#           8       0.00000    102.40      8.00     3   3.7075
#           9       0.00000    120.40      8.00     3   3.7101
#          10       0.00000     11.33      4.00     2   3.8035
#          11       0.00000     20.03      8.00     3   3.8061
#          15       0.00000     10.24      4.00     4   3.8088
#          16       0.00000     19.61      8.00     3   3.8655
#          17       0.00000     18.40      8.00     3   3.8885
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.4354E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9025.871     33.605   3.100  1.06613E+00  9.97067E-01  6.98265E-02
    9027.062     34.795   3.150  1.05621E+00  9.97179E-01  5.96456E-02
    9028.272     36.005   3.200  1.04518E+00  9.97291E-01  4.83504E-02
    9029.500     37.234   3.250  1.03342E+00  9.97635E-01  3.60978E-02
    9030.748     38.482   3.300  1.02121E+00  9.97980E-01  2.34121E-02
    9032.015     39.748   3.350  1.00898E+00  9.98325E-01  1.07297E-02
    9033.301     41.034   3.400  9.97184E-01  9.98670E-01 -1.49496E-03
    9034.606     42.339   3.450  9.86065E-01  9.98872E-01 -1.28651E-02
    9035.930     43.663   3.500  9.76072E-01  9.99074E-01 -2.30768E-02
    9037.273     45.006   3.550  9.67501E-01  9.99276E-01 -3.18363E-02
    9038.635     46.368   3.600  9.60553E-01  9.99478E-01 -3.89486E-02
    9040.016     47.749   3.650  9.55154E-01  9.99999E-01 -4.48096E-02
    9041.416     49.149   3.700  9.51180E-01  1.00052E+00 -4.92339E-02
    9042.835     50.569   3.750  9.48556E-01  1.00104E+00 -5.22995E-02
    9044.274     52.007   3.800  9.47141E-01  1.00156E+00 -5.41537E-02
    9045.731     53.464   3.850  9.45964E-01  1.00231E+00 -5.59889E-02
    9047.207     54.941   3.900  9.45670E-01  1.00306E+00 -5.69425E-02
    9048.703     56.436   3.950  9.46194E-01  1.00381E+00 -5.70833E-02
    9050.217     57.951   4.000  9.47493E-01  1.00455E+00 -5.64566E-02
    9051.751     59.484   4.050  9.48997E-01  1.00516E+00 -5.54833E-02
    9053.303     61.037   4.100  9.51728E-01  1.00578E+00 -5.33016E-02
    9054.875     62.608   4.150  9.55806E-01  1.00639E+00 -4.98022E-02
    9056.466     64.199   4.200  9.61333E-01  1.00700E+00 -4.48887E-02
    9058.075     65.809   4.250  9.69105E-01  1.00800E+00 -3.81721E-02
    9059.704     67.437   4.300  9.78762E-01  1.00900E+00 -2.96293E-02
    9061.352     69.085   4.350  9.90174E-01  1.01000E+00 -1.93965E-02
    9063.019     70.752   4.400  1.00309E+00  1.01100E+00 -7.72260E-03
    9064.705     72.438   4.450  1.01769E+00  1.01190E+00  5.64721E-03
    9066.410     74.143   4.500  1.03298E+00  1.01280E+00  1.96569E-02
    9068.134     75.867   4.550  1.04828E+00  1.01369E+00  3.36343E-02
    9069.877     77.610   4.600  1.06283E+00  1.01459E+00  4.68473E-02
    9071.639     79.372   4.650  1.07615E+00  1.01534E+00  5.89966E-02
    9073.420     81.153   4.700  1.08708E+00  1.01608E+00  6.87883E-02
    9075.220     82.954   4.750  1.09488E+00  1.01683E+00  7.55393E-02
    9077.039     84.773   4.800  1.09901E+00  1.01757E+00  7.87226E-02
    9078.878     86.611   4.850  1.09922E+00  1.01824E+00  7.82059E-02
    9080.735     88.469   4.900  1.09506E+00  1.01891E+00  7.34799E-02
    9082.612     90.345   4.950  1.08670E+00  1.01958E+00  6.47082E-02
    9084.507     92.240   5.000  1.07458E+00  1.02025E+00  5.23299E-02
    9086.422     94.155   5.050  1.05896E+00  1.02066E+00  3.68763E-02
    9088.355     96.088   5.100  1.04107E+00  1.02106E+00  1.92533E-02
    9090.308     98.041   5.150  1.02205E+00  1.02147E+00  5.58767E-04
    9092.279    100.013   5.200  1.00312E+00  1.02187E+00 -1.80239E-02
    9094.270    102.003   5.250  9.84888E-01  1.02196E+00 -3.56459E-02
    9096.280    104.013   5.300  9.69135E-01  1.02206E+00 -5.08805E-02
    9098.309    106.042   5.350  9.56884E-01  1.02215E+00 -6.27489E-02
    9100.357    108.090   5.400  9.48895E-01  1.02224E+00 -7.05194E-02
    9102.424    110.157   5.450  9.45229E-01  1.02204E+00 -7.38800E-02
    9104.509    112.243   5.500  9.46508E-01  1.02185E+00 -7.24840E-02
    9106.614    114.348   5.550  9.52473E-01  1.02165E+00 -6.65767E-02
    9108.739    116.472   5.600  9.62525E-01  1.02145E+00 -5.67313E-02
    9110.882    118.615   5.650  9.75525E-01  1.02096E+00 -4.37724E-02
    9113.044    120.777   5.700  9.90694E-01  1.02047E+00 -2.87051E-02
    9115.225    122.958   5.750  1.00680E+00  1.01998E+00 -1.27120E-02
    9117.425    125.159   5.800  1.02260E+00  1.01949E+00  3.00420E-03
    9119.645    127.378   5.850  1.03677E+00  1.01876E+00  1.74101E-02
    9121.883    129.616   5.900  1.04847E+00  1.01803E+00  2.94478E-02
    9124.140    131.874   5.950  1.05694E+00  1.01730E+00  3.83833E-02
    9126.417    134.150   6.000  1.06173E+00  1.01656E+00  4.37765E-02
    9128.712    136.446   6.050  1.06262E+00  1.01561E+00  4.56145E-02
    9131.027    138.760   6.100  1.05982E+00  1.01465E+00  4.38823E-02
    9133.361    141.094   6.150  1.05384E+00  1.01370E+00  3.90476E-02
    9135.713    143.447   6.200  1.04541E+00  1.01274E+00  3.18144E-02
    9138.085    145.818   6.250  1.03542E+00  1.01178E+00  2.30451E-02
    9140.476    148.209   6.300  1.02483E+00  1.01083E+00  1.36713E-02
    9142.886    150.619   6.350  1.01458E+00  1.00987E+00  4.60294E-03
    9145.314    153.048   6.400  1.00548E+00  1.00891E+00 -3.35614E-03
    9147.762    155.496   6.450  9.98179E-01  1.00796E+00 -9.57818E-03
    9150.229    157.963   6.500  9.93072E-01  1.00700E+00 -1.36606E-02
    9152.715    160.449   6.550  9.90170E-01  1.00606E+00 -1.55986E-02
    9155.220    162.954   6.600  9.89613E-01  1.00512E+00 -1.52365E-02
    9157.744    165.478   6.650  9.91101E-01  1.00417E+00 -1.28621E-02
    9160.288    168.021   6.700  9.94125E-01  1.00323E+00 -8.96882E-03
    9162.850    170.583   6.750  9.98036E-01  1.00229E+00 -4.19379E-03
    9165.431    173.164   6.800  1.00211E+00  1.00135E+00  7.56154E-04
    9168.031    175.765   6.850  1.00565E+00  1.00040E+00  5.18406E-03
    9170.651    178.384   6.900  1.00803E+00  9.99461E-01  8.47894E-03
    9173.289    181.023   6.950  1.00880E+00  9.98518E-01  1.01809E-02
    9175.947    183.680   7.000  1.00769E+00  9.97576E-01  1.00286E-02
    9178.623    186.357   7.050  1.00504E+00  9.96829E-01  8.14398E-03
    9181.319    189.052   7.100  1.00063E+00  9.96082E-01  4.51485E-03
    9184.033    191.767   7.150  9.94805E-01  9.95335E-01 -5.26049E-04
    9186.767    194.500   7.200  9.88084E-01  9.94588E-01 -6.46985E-03
    9189.520    197.253   7.250  9.81101E-01  9.93841E-01 -1.26834E-02
    9192.292    200.025   7.300  9.74553E-01  9.93094E-01 -1.84744E-02
    9195.082    202.816   7.350  9.69119E-01  9.92347E-01 -2.31637E-02
    9197.892    205.626   7.400  9.65392E-01  9.91600E-01 -2.61569E-02
    9200.721    208.454   7.450  9.63815E-01  9.90853E-01 -2.70085E-02
    9203.569    211.302   7.500  9.64628E-01  9.90106E-01 -2.54716E-02
    9206.436    214.169   7.550  9.67927E-01  9.89501E-01 -2.15842E-02
    9209.322    217.055   7.600  9.73365E-01  9.88897E-01 -1.55504E-02
    9212.227    219.961   7.650  9.80526E-01  9.88292E-01 -7.78095E-03
    9215.151    222.885   7.700  9.88818E-01  9.87687E-01  1.13349E-03
    9218.095    225.828   7.750  9.97520E-01  9.87083E-01  1.04727E-02
    9221.057    228.790   7.800  1.00585E+00  9.86478E-01  1.94500E-02
    9224.038    231.772   7.850  1.01303E+00  9.85873E-01  2.72828E-02
    9227.039    234.772   7.900  1.01835E+00  9.85269E-01  3.32648E-02
    9230.058    237.791   7.950  1.02127E+00  9.84664E-01  3.68314E-02
    9233.096    240.830   8.000  1.02141E+00  9.84060E-01  3.76145E-02
