# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.009E+00 kf=2.107E+00 Vint=-1.992E+01 Rs_int= 1.722
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    935.80      2.00     2   2.4277
#           3       0.00000    234.00      2.00     2   3.2308
#           4       0.00000    461.10      4.00     2   3.2413
#           6       0.00000      4.54      4.00     3   3.2582
#           7       0.00000    216.20      2.00     2   3.2872
#           8       0.00000    102.40      8.00     3   3.7075
#           9       0.00000    120.40      8.00     3   3.7101
#          10       0.00000     11.33      4.00     2   3.8035
#          11       0.00000     20.03      8.00     3   3.8061
#          15       0.00000     10.24      4.00     4   3.8088
#          16       0.00000     19.61      8.00     3   3.8655
#          17       0.00000     18.40      8.00     3   3.8885
#    13/  15 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     4.0000   -5.645663E-02  5.704879E-02  1.113978E+01
     4.0500   -5.548334E-02  5.790276E-02  1.128567E+01
     4.1000   -5.330163E-02  5.888802E-02  1.143467E+01
     4.1500   -4.980224E-02  5.999521E-02  1.158708E+01
     4.2000   -4.488868E-02  6.121096E-02  1.174314E+01
     4.2500   -3.817212E-02  6.295125E-02  1.191488E+01
     4.3000   -2.962932E-02  6.467159E-02  1.209046E+01
     4.3500   -1.939651E-02  6.635548E-02  1.226973E+01
     4.4000   -7.722599E-03  6.798608E-02  1.245253E+01
     4.4500    5.647215E-03  6.979918E-02  1.264737E+01
     4.5000    1.965692E-02  7.147421E-02  1.284498E+01
     4.5500    3.363426E-02  7.299962E-02  1.304521E+01
     4.6000    4.684732E-02  7.436438E-02  1.324789E+01
     4.6500    5.899659E-02  7.578452E-02  1.345861E+01
     4.7000    6.878834E-02  7.699645E-02  1.367122E+01
     4.7500    7.553928E-02  7.799409E-02  1.388561E+01
     4.8000    7.872259E-02  7.877217E-02  1.410169E+01
     4.8500    7.820586E-02  7.960333E-02  1.432482E+01
     4.9000    7.347994E-02  8.019360E-02  1.454927E+01
     4.9500    6.470816E-02  8.054213E-02  1.477497E+01
     5.0000    5.232991E-02  8.064913E-02  1.500188E+01
     5.0500    3.687632E-02  8.078420E-02  1.523393E+01
     5.1000    1.925334E-02  8.067276E-02  1.546698E+01
     5.1500    5.587665E-04  8.031863E-02  1.570101E+01
     5.2000   -1.802385E-02  7.972666E-02  1.593601E+01
     5.2500   -3.564587E-02  7.912100E-02  1.617531E+01
     5.3000   -5.088047E-02  7.828353E-02  1.641548E+01
     5.3500   -6.274892E-02  7.722213E-02  1.665652E+01
     5.4000   -7.051945E-02  7.594565E-02  1.689845E+01
     5.4500   -7.388001E-02  7.454888E-02  1.714470E+01
     5.5000   -7.248397E-02  7.294882E-02  1.739171E+01
     5.5500   -6.657669E-02  7.115724E-02  1.763952E+01
     5.6000   -5.673130E-02  6.918661E-02  1.788819E+01
     5.6500   -4.377245E-02  6.716249E-02  1.813968E+01
     5.7000   -2.870506E-02  6.498009E-02  1.839201E+01
     5.7500   -1.271202E-02  6.265320E-02  1.864524E+01
     5.8000    3.004203E-03  6.019610E-02  1.889948E+01
     5.8500    1.741011E-02  5.768208E-02  1.915617E+01
     5.9000    2.944776E-02  5.505905E-02  1.941387E+01
     5.9500    3.838326E-02  5.234202E-02  1.967274E+01
     6.0000    4.377652E-02  4.954627E-02  1.993294E+01
