# ferrocene-based macrocycle                                     Feff 8.50L  
# Dinnebier et al,  Organometallics 2001, 20, 5642-5647
# doi:10.1021/om0105066
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.259 Rnm= 1.308 K  shell
# Pot 1 Z=26 Rmt= 1.298 Rnm= 1.358
# Pot 2 Z= 6 Rmt= 0.856 Rnm= 1.054
# Pot 3 Z= 5 Rmt= 0.932 Rnm= 1.069
# Pot 4 Z= 7 Rmt= 0.778 Rnm= 0.961
# Pot 5 Z= 8 Rmt= 0.780 Rnm= 0.992
# Pot 6 Z= 1 Rmt= 0.751 Rnm= 0.908
# Gam_ch=1.309E+00 H-L exch
# Mu=-8.153E+00 kf=2.415E+00 Vint=-1.737E+01 Rs_int= 1.502
# PATH  Rmax= 3.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.941                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.0264
#           2       0.00000     98.80      1.00     2   2.0369
#           3       0.00000     96.85      1.00     2   2.0542
#           4       0.00000     96.75      1.00     2   2.0550
#           5       0.00000     94.97      1.00     2   2.0714
#           6       0.00000     93.95      1.00     2   2.0808
#           7       0.00000     93.60      1.00     2   2.0842
#           8       0.00000     93.52      1.00     2   2.0849
#           9       0.00000     93.27      1.00     2   2.0873
#          10       0.00000     92.00      1.00     2   2.0995
#          11       0.00000     65.67      2.00     3   2.7457
#          12       0.00000     64.71      2.00     3   2.7586
#          13       0.00000     62.64      2.00     3   2.7757
#          14       0.00000     62.70      2.00     3   2.7795
#          15       0.00000     10.14      1.00     2   2.7842
#          16       0.00000     62.40      2.00     3   2.7852
#          17       0.00000     61.73      2.00     3   2.7898
#          18       0.00000     10.05      1.00     2   2.7946
#          19       0.00000     10.03      1.00     2   2.7966
#          20       0.00000     61.05      2.00     3   2.7976
#          21       0.00000     60.79      2.00     3   2.8026
#          22       0.00000     60.78      2.00     3   2.8060
#          23       0.00000     60.98      2.00     3   2.8060
#          24       0.00000      9.93      1.00     2   2.8080
#          25       0.00000      9.82      1.00     2   2.8217
#          26       0.00000      9.74      1.00     2   2.8308
#          27       0.00000      9.71      1.00     2   2.8345
#          28       0.00000      9.55      1.00     2   2.8537
#          29       0.00000     23.17      2.00     3   2.9476
#          30       0.00000     22.97      2.00     3   2.9597
#          31       0.00000     22.08      2.00     3   2.9660
#          32       0.00000     22.39      2.00     3   2.9743
#          33       0.00000     22.34      2.00     3   2.9940
#          34       0.00000     21.53      2.00     3   2.9938
#    34/  34 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     2.8500   -2.388281E-02  3.047891E-01  3.220032E+00
     2.9000   -6.732765E-02  2.919366E-01  3.374312E+00
     2.9500   -1.056785E-01  2.796087E-01  3.529175E+00
     3.0000   -1.383693E-01  2.677853E-01  3.684605E+00
     3.0500   -1.637131E-01  2.542411E-01  3.841214E+00
     3.1000   -1.821487E-01  2.410298E-01  3.998331E+00
     3.1500   -1.937239E-01  2.281387E-01  4.155966E+00
     3.2000   -1.986844E-01  2.155542E-01  4.314130E+00
     3.2500   -1.975349E-01  2.037675E-01  4.464420E+00
     3.3000   -1.911429E-01  1.920600E-01  4.614623E+00
     3.3500   -1.801802E-01  1.804273E-01  4.764731E+00
     3.4000   -1.654197E-01  1.688648E-01  4.914734E+00
     3.4500   -1.507374E-01  1.600867E-01  5.055840E+00
     3.5000   -1.339790E-01  1.513484E-01  5.196185E+00
     3.5500   -1.158265E-01  1.426464E-01  5.335644E+00
     3.6000   -9.695817E-02  1.339779E-01  5.474054E+00
     3.6500   -8.006474E-02  1.282363E-01  5.608882E+00
     3.7000   -6.298729E-02  1.225276E-01  5.743267E+00
     3.7500   -4.615094E-02  1.168432E-01  5.877137E+00
     3.8000   -2.995227E-02  1.111750E-01  6.010399E+00
     3.8500   -1.491008E-02  1.076552E-01  6.144240E+00
     3.9000   -4.775522E-04  1.041165E-01  6.278599E+00
     3.9500    1.306169E-02  1.005450E-01  6.413462E+00
     4.0000    2.544430E-02  9.692773E-02  6.548806E+00
     4.0500    3.721204E-02  9.481254E-02  6.686512E+00
     4.1000    4.779386E-02  9.262012E-02  6.825384E+00
     4.1500    5.695927E-02  9.033886E-02  6.965391E+00
     4.2000    6.450911E-02  8.795855E-02  7.106501E+00
     4.2500    7.131094E-02  8.668419E-02  7.249246E+00
     4.3000    7.641086E-02  8.530485E-02  7.393275E+00
     4.3500    7.967829E-02  8.381383E-02  7.538536E+00
     4.4000    8.103437E-02  8.220561E-02  7.684975E+00
     4.4500    8.131276E-02  8.133100E-02  7.832806E+00
     4.5000    7.968825E-02  8.034336E-02  7.981770E+00
     4.5500    7.620127E-02  7.923982E-02  8.131808E+00
     4.6000    7.095220E-02  7.801831E-02  8.282866E+00
     4.6500    6.466028E-02  7.741283E-02  8.436162E+00
     4.7000    5.683425E-02  7.670462E-02  8.590295E+00
     4.7500    4.769547E-02  7.589320E-02  8.745212E+00
     4.8000    3.750943E-02  7.497853E-02  8.900869E+00
     4.8500    2.668092E-02  7.447641E-02  9.058389E+00
     4.9000    1.528245E-02  7.388944E-02  9.216446E+00
     4.9500    3.643067E-03  7.321822E-02  9.375001E+00
     5.0000   -7.900401E-03  7.246354E-02  9.534021E+00
     5.0500   -1.918186E-02  7.194770E-02  9.694650E+00
     5.1000   -2.980345E-02  7.136537E-02  9.855600E+00
     5.1500   -3.946573E-02  7.071737E-02  1.001684E+01
     5.2000   -4.790100E-02  7.000462E-02  1.017836E+01
     5.2500   -5.510117E-02  6.941590E-02  1.034178E+01
     5.3000   -6.067951E-02  6.877813E-02  1.050540E+01
     5.3500   -6.449723E-02  6.809192E-02  1.066919E+01
     5.4000   -6.647130E-02  6.735791E-02  1.083314E+01
     5.4500   -6.668053E-02  6.668072E-02  1.099796E+01
     5.5000   -6.504492E-02  6.596647E-02  1.116292E+01
     5.5500   -6.164510E-02  6.521551E-02  1.132800E+01
     5.6000   -5.661437E-02  6.442824E-02  1.149320E+01
     5.6500   -5.014787E-02  6.365030E-02  1.165904E+01
     5.7000   -4.243799E-02  6.284265E-02  1.182499E+01
     5.7500   -3.373735E-02  6.200552E-02  1.199105E+01
