     4.0500   -1.910359E-02  4.774597E-02  1.215473E+01
     4.1000   -1.383254E-02  4.524062E-02  1.225564E+01
     4.1500   -1.022839E-02  4.443269E-02  1.233409E+01
     4.2000   -7.150622E-03  4.560148E-02  1.240891E+01
     4.2500   -3.110961E-03  4.765167E-02  1.250104E+01
     4.3000    2.395493E-03  5.115950E-02  1.261321E+01
     4.3500    1.021483E-02  5.575719E-02  1.275061E+01
     4.4000    2.070286E-02  6.105047E-02  1.291234E+01
     4.4500    3.283698E-02  6.606407E-02  1.308656E+01
     4.5000    4.640403E-02  7.127277E-02  1.327537E+01
     4.5500    6.035256E-02  7.648771E-02  1.347563E+01
     4.6000    7.334985E-02  8.156365E-02  1.368453E+01
     4.6500    8.348301E-02  8.599102E-02  1.389506E+01
     4.7000    9.022119E-02  9.025414E-02  1.411014E+01
     4.7500    9.258586E-02  9.431041E-02  1.432870E+01
     4.8000    8.989010E-02  9.812886E-02  1.454987E+01
     4.8500    8.188062E-02  1.015203E-01  1.476968E+01
     4.9000    6.876497E-02  1.047367E-01  1.499173E+01
     4.9500    5.091418E-02  1.077418E-01  1.521577E+01
     5.0000    2.908508E-02  1.104923E-01  1.544159E+01
     5.0500    4.530877E-03  1.129907E-01  1.566785E+01
     5.1000   -2.154720E-02  1.151548E-01  1.589619E+01
     5.1500   -4.747711E-02  1.168995E-01  1.612619E+01
     5.2000   -7.143357E-02  1.181409E-01  1.635729E+01
     5.2500   -9.176121E-02  1.187703E-01  1.659088E+01
     5.3000   -1.066859E-01  1.187203E-01  1.682460E+01
     5.3500   -1.150481E-01  1.179297E-01  1.705724E+01
     5.4000   -1.163666E-01  1.163709E-01  1.728731E+01
     5.4500   -1.107491E-01  1.138950E-01  1.751434E+01
     5.5000   -9.938587E-02  1.107118E-01  1.773504E+01
     5.5500   -8.397626E-02  1.069671E-01  1.794675E+01
     5.6000   -6.652948E-02  1.029020E-01  1.814653E+01
     5.6500   -4.873375E-02  9.865616E-02  1.833290E+01
     5.7000   -3.236141E-02  9.492145E-02  1.850165E+01
     5.7500   -1.810077E-02  9.230335E-02  1.865218E+01
     5.8000   -5.675655E-03  9.145945E-02  1.878746E+01
     5.8500    6.140686E-03  9.281466E-02  1.891577E+01
     5.9000    1.901277E-02  9.689052E-02  1.904707E+01
     5.9500    3.480819E-02  1.036808E-01  1.919193E+01
     6.0000    5.486749E-02  1.128712E-01  1.935719E+01
     6.0500    7.949736E-02  1.237780E-01  1.954700E+01
     6.1000    1.072833E-01  1.359601E-01  1.975886E+01
     6.1500    1.352777E-01  1.488517E-01  1.998997E+01
     6.2000    1.592334E-01  1.619427E-01  2.023717E+01
     6.2500    1.742614E-01  1.747822E-01  2.049757E+01
     6.3000    1.757401E-01  1.869728E-01  2.076874E+01
     6.3500    1.603108E-01  1.981637E-01  2.104873E+01
     6.4000    1.267600E-01  2.080454E-01  2.133598E+01
     6.4500    7.659078E-02  2.163464E-01  2.162928E+01
     6.5000    1.413460E-02  2.228316E-01  2.192767E+01
     6.5500   -5.434416E-02  2.265435E-01  2.223339E+01
     6.6000   -1.194920E-01  2.280213E-01  2.254273E+01
     6.6500   -1.727633E-01  2.271705E-01  2.285523E+01
     6.7000   -2.070001E-01  2.239358E-01  2.317054E+01
     6.7500   -2.177105E-01  2.183008E-01  2.348839E+01
     6.8000   -2.039212E-01  2.102872E-01  2.380863E+01
     6.8500   -1.684248E-01  1.999549E-01  2.413118E+01
     6.9000   -1.173507E-01  1.874006E-01  2.445607E+01
     6.9500   -5.911885E-02  1.727564E-01  2.478347E+01
     7.0000   -2.960137E-03  1.561888E-01  2.511379E+01
     7.0500    4.273729E-02  1.375754E-01  2.544861E+01
     7.1000    7.163420E-02  1.175724E-01  2.578789E+01
     7.1500    8.123608E-02  9.645252E-02  2.613416E+01
     7.2000    7.287974E-02  7.452191E-02  2.649322E+01
     7.2500    5.133348E-02  5.215229E-02  2.688097E+01
     7.3000    2.373779E-02  2.997456E-02  2.736037E+01
     7.3500   -1.901075E-03  1.150115E-02  2.844039E+01
     7.4000   -1.836400E-02  2.023063E-02  3.027808E+01
     7.4500   -2.068992E-02  4.079363E-02  3.088401E+01
     7.5000   -7.174224E-03  6.150239E-02  3.129901E+01
     7.5500    2.040464E-02  8.099470E-02  3.167060E+01
     7.6000    5.658669E-02  9.910976E-02  3.202359E+01
     7.6500    9.409920E-02  1.155825E-01  3.236716E+01
     7.7000    1.250740E-01  1.302056E-01  3.270504E+01
     7.7500    1.426189E-01  1.428137E-01  3.303897E+01
     7.8000    1.421702E-01  1.532797E-01  3.336979E+01
     7.8500    1.223621E-01  1.615141E-01  3.369790E+01
     7.9000    8.525472E-02  1.674657E-01  3.402339E+01
     7.9500    3.589402E-02  1.711222E-01  3.434619E+01
     8.0000   -1.868595E-02  1.725106E-01  3.466605E+01
     8.0500   -7.082847E-02  1.713805E-01  3.498357E+01
     8.1000   -1.133479E-01  1.681993E-01  3.529698E+01
     8.1500   -1.413383E-01  1.631299E-01  3.560550E+01
     8.2000   -1.525986E-01  1.563751E-01  3.590810E+01
     8.2500   -1.477616E-01  1.481792E-01  3.620341E+01
     8.3000   -1.298653E-01  1.388301E-01  3.648965E+01
     8.3500   -1.034962E-01  1.286649E-01  3.676447E+01
     8.4000   -7.371429E-02  1.180775E-01  3.702489E+01
     8.4500   -4.500624E-02  1.075285E-01  3.726726E+01
     8.5000   -2.048465E-02  9.755503E-02  3.748756E+01
     8.5500   -1.482123E-03  8.884828E-02  3.768243E+01
     8.6000    1.246851E-02  8.201336E-02  3.785173E+01
     8.6500    2.304005E-02  7.757525E-02  3.800066E+01
     8.7000    3.240241E-02  7.578427E-02  3.814090E+01
     8.7500    4.244031E-02  7.648328E-02  3.828735E+01
     8.8000    5.411753E-02  7.914206E-02  3.845207E+01
     8.8500    6.713884E-02  8.304193E-02  3.864070E+01
     8.9000    7.998149E-02  8.746859E-02  3.885314E+01
     8.9500    9.027475E-02  9.181921E-02  3.908623E+01
     9.0000    9.542187E-02  9.562995E-02  3.933589E+01
     9.0500    9.324446E-02  9.857461E-02  3.960026E+01
     9.1000    8.262653E-02  1.003670E-01  3.987360E+01
     9.1500    6.403620E-02  1.008731E-01  4.015293E+01
     9.2000    3.941822E-02  1.000310E-01  4.043566E+01
     9.2500    1.183836E-02  9.784016E-02  4.071941E+01
     9.3000   -1.513475E-02  9.435545E-02  4.100180E+01
     9.3500   -3.816126E-02  8.968406E-02  4.128023E+01
     9.4000   -5.480124E-02  8.398653E-02  4.155158E+01
     9.4500   -6.396785E-02  7.748249E-02  4.181193E+01
     9.5000   -6.605916E-02  7.046325E-02  4.205607E+01
     9.5500   -6.266797E-02  6.323938E-02  4.227697E+01
     9.6000   -5.633511E-02  5.641648E-02  4.246522E+01
     9.6500   -4.967144E-02  5.069494E-02  4.261278E+01
     9.7000   -4.469344E-02  4.689238E-02  4.271896E+01
     9.7500   -4.231082E-02  4.571110E-02  4.279964E+01
     9.8000   -4.211652E-02  4.735472E-02  4.288630E+01
     9.8500   -4.253039E-02  5.137690E-02  4.300710E+01
     9.9000   -4.126139E-02  5.696933E-02  4.317232E+01
     9.9500   -3.597472E-02  6.332927E-02  4.337815E+01
    10.0000   -2.499957E-02  6.981931E-02  4.361611E+01
    10.0500   -7.980555E-03  7.623999E-02  4.387743E+01
    10.1000    1.428666E-02  8.204088E-02  4.415733E+01
    10.1500    3.929107E-02  8.695352E-02  4.445115E+01
    10.2000    6.340775E-02  9.077919E-02  4.475557E+01
    10.2500    8.261221E-02  9.337327E-02  4.506826E+01
    10.3000    9.334194E-02  9.463566E-02  4.538755E+01
    10.3500    9.330970E-02  9.450478E-02  4.571229E+01
    10.4000    8.207757E-02  9.295366E-02  4.604169E+01
    10.4500    6.125058E-02  8.998701E-02  4.637523E+01
    10.5000    3.423163E-02  8.563887E-02  4.671268E+01
    10.5500    5.578104E-03  7.997055E-02  4.705408E+01
    10.6000   -1.990818E-02  7.306874E-02  4.739984E+01
    10.6500   -3.816300E-02  6.504389E-02  4.775090E+01
    10.7000   -4.669877E-02  5.602951E-02  4.810924E+01
    10.7500   -4.511372E-02  4.618388E-02  4.847899E+01
    10.8000   -3.515463E-02  3.570027E-02  4.886975E+01
    10.8500   -2.031370E-02  2.485259E-02  4.930866E+01
    10.9000   -5.043210E-03  1.426739E-02  4.990420E+01
    10.9500    6.243562E-03  7.647652E-03  5.122064E+01
    11.0000    1.016790E-02  1.386793E-02  5.258407E+01
    11.0500    5.261729E-03  2.458786E-02  5.319141E+01
    11.1000   -8.117606E-03  3.573269E-02  5.363625E+01
    11.1500   -2.734324E-02  4.666619E-02  5.403311E+01
    11.2000   -4.815793E-02  5.712014E-02  5.441010E+01
    11.2500   -6.556452E-02  6.690803E-02  5.477714E+01
    11.3000   -7.489991E-02  7.587746E-02  5.513856E+01
    11.3500   -7.286357E-02  8.389897E-02  5.549656E+01
    11.4000   -5.827939E-02  9.086331E-02  5.585235E+01
    11.4500   -3.242591E-02  9.668106E-02  5.620665E+01
    11.5000    1.138869E-03  1.012829E-01  5.655991E+01
    11.5500    3.722464E-02  1.046199E-01  5.691245E+01
    11.6000    6.999449E-02  1.066641E-01  5.726446E+01
    11.6500    9.408532E-02  1.074078E-01  5.761610E+01
    11.7000    1.056321E-01  1.068641E-01  5.796747E+01
    11.7500    1.029874E-01  1.050652E-01  5.831867E+01
    11.8000    8.699472E-02  1.020627E-01  5.866977E+01
    11.8500    6.076662E-02  9.792519E-02  5.902083E+01
    11.9000    2.902620E-02  9.273767E-02  5.937192E+01
    11.9500   -2.844721E-03  8.659930E-02  5.972312E+01
    12.0000   -2.984774E-02  7.962170E-02  6.007452E+01
    12.0500   -4.854272E-02  7.224742E-02  6.042703E+01
    12.1000   -5.694875E-02  6.423735E-02  6.078006E+01
    12.1500   -5.526916E-02  5.571859E-02  6.113396E+01
    12.2000   -4.560946E-02  4.682363E-02  6.148928E+01
    12.2500   -3.139803E-02  3.768835E-02  6.184717E+01
    12.3000   -1.656911E-02  2.845055E-02  6.221020E+01
    12.3500   -4.690781E-03  1.925032E-02  6.258570E+01
    12.4000    1.774790E-03  1.024365E-02  6.300599E+01
    12.4500    1.928093E-03  2.049868E-03  6.405623E+01
