# name:     NiO                                                  Feff 8.50L  
# formula:  NiO
# sites:    Ni1,O1
# refer1:   wyckoff 1,III,88
# refer2:
# schoen:
# notes1:   salt, halite
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
# Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
# Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.195E+01 kf=2.169E+00 Vint=-2.164E+01 Rs_int= 1.672
# PATH  Rmax= 4.700,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.951                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.0842
#           2       0.00000     80.86     12.00     2   2.9475
#           3       0.00000     19.25     24.00     3   3.5580
#           4       0.00000     37.29     48.00     3   3.5580
#           5       0.00000     33.29      8.00     2   3.6099
#           6       0.00000     17.91      6.00     2   4.1684
#           7       0.00000     15.93      6.00     3   4.1684
#           8       0.00000     48.91     12.00     3   4.1684
#           9       0.00000      9.59      6.00     4   4.1684
#          10       0.00000      7.57      6.00     4   4.1684
#          11       0.00000     32.52      6.00     4   4.1684
#          12       0.00000     15.51     24.00     4   4.1684
#          13       0.00000     10.35     48.00     3   4.3208
#          14       0.00000     29.18     48.00     3   4.3208
#          15       0.00000     20.02     48.00     3   4.3208
#          16       0.00000      7.37     48.00     3   4.4213
#          17       0.00000     49.41     24.00     2   4.6604
#    17/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     3.7500    1.637508E-01  2.386623E-01  1.332251E+01
     3.8000    1.822411E-01  2.258906E-01  1.350503E+01
     3.8500    1.918044E-01  2.137529E-01  1.368003E+01
     3.9000    1.942674E-01  2.027609E-01  1.384670E+01
     3.9500    1.916326E-01  1.932904E-01  1.400610E+01
     4.0000    1.855576E-01  1.856068E-01  1.416020E+01
     4.0500    1.767963E-01  1.794943E-01  1.431077E+01
     4.1000    1.661453E-01  1.752581E-01  1.446106E+01
     4.1500    1.534235E-01  1.727316E-01  1.461451E+01
     4.2000    1.379487E-01  1.716076E-01  1.477420E+01
     4.2500    1.188871E-01  1.714524E-01  1.494175E+01
     4.3000    9.557562E-02  1.719072E-01  1.511843E+01
     4.3500    6.768355E-02  1.725678E-01  1.530493E+01
     4.4000    3.551438E-02  1.730668E-01  1.550129E+01
     4.4500    3.222437E-04  1.730689E-01  1.570610E+01
     4.5000   -3.617030E-02  1.723907E-01  1.591935E+01
     4.5500   -7.160639E-02  1.708513E-01  1.614043E+01
     4.6000   -1.033127E-01  1.683327E-01  1.636875E+01
     4.6500   -1.282965E-01  1.644923E-01  1.660256E+01
     4.7000   -1.446280E-01  1.596016E-01  1.684213E+01
     4.7500   -1.508771E-01  1.536904E-01  1.708713E+01
     4.8000   -1.465771E-01  1.468288E-01  1.733732E+01
     4.8500   -1.324580E-01  1.391871E-01  1.759098E+01
     4.9000   -1.100848E-01  1.307920E-01  1.784917E+01
     4.9500   -8.190326E-02  1.217841E-01  1.811194E+01
     5.0000   -5.088121E-02  1.123232E-01  1.837944E+01
     5.0500   -2.030229E-02  1.025411E-01  1.865025E+01
     5.1000    7.075452E-03  9.259721E-02  1.892604E+01
     5.1500    2.895938E-02  8.267237E-02  1.920744E+01
     5.2000    4.390060E-02  7.295071E-02  1.949529E+01
     5.2500    5.122017E-02  6.342880E-02  1.978950E+01
     5.3000    5.151145E-02  5.440585E-02  2.009270E+01
     5.3500    4.604935E-02  4.605346E-02  2.040700E+01
     5.4000    3.664369E-02  3.853381E-02  2.073486E+01
     5.4500    2.513042E-02  3.177536E-02  2.107891E+01
     5.5000    1.360062E-02  2.607014E-02  2.144231E+01
     5.5500    3.576526E-03  2.150853E-02  2.182409E+01
     5.6000   -4.023752E-03  1.810569E-02  2.221526E+01
     5.6500   -9.036359E-03  1.557597E-02  2.261006E+01
     5.7000   -1.162102E-02  1.396952E-02  2.297364E+01
     5.7500   -1.256359E-02  1.309444E-02  2.327623E+01
     5.8000   -1.285753E-02  1.288205E-02  2.350023E+01
     5.8500   -1.324034E-02  1.332422E-02  2.367421E+01
     5.9000   -1.434101E-02  1.476973E-02  2.380347E+01
     5.9500   -1.627227E-02  1.742433E-02  2.392762E+01
     6.0000   -1.859146E-02  2.133749E-02  2.407489E+01
     6.0500   -1.970763E-02  2.598165E-02  2.427170E+01
     6.1000   -1.894530E-02  3.158448E-02  2.448945E+01
     6.1500   -1.511080E-02  3.801715E-02  2.472398E+01
     6.2000   -7.268926E-03  4.514543E-02  2.497103E+01
     6.2500    4.982923E-03  5.283285E-02  2.522720E+01
     6.3000    2.131204E-02  6.094142E-02  2.549001E+01
     6.3500    4.056333E-02  6.933204E-02  2.575769E+01
     6.4000    6.081343E-02  7.786546E-02  2.602902E+01
     6.4500    7.956819E-02  8.640363E-02  2.630310E+01
     6.5000    9.408059E-02  9.481128E-02  2.657931E+01
     6.5500    1.010589E-01  1.023813E-01  2.686444E+01
     6.6000    9.885374E-02  1.095890E-01  2.714986E+01
     6.6500    8.653230E-02  1.163255E-01  2.743548E+01
     6.7000    6.434985E-02  1.224901E-01  2.772121E+01
     6.7500    3.380967E-02  1.279913E-01  2.800701E+01
     6.8000   -2.452314E-03  1.327484E-01  2.829281E+01
     6.8500   -4.094863E-02  1.366925E-01  2.857857E+01
     6.9000   -7.775179E-02  1.397675E-01  2.886425E+01
     6.9500   -1.089801E-01  1.419305E-01  2.914980E+01
     7.0000   -1.312898E-01  1.431527E-01  2.943516E+01
     7.0500   -1.420717E-01  1.431379E-01  2.972300E+01
     7.1000   -1.402602E-01  1.421881E-01  3.000999E+01
     7.1500   -1.262886E-01  1.403132E-01  3.029605E+01
     7.2000   -1.019451E-01  1.375360E-01  3.058103E+01
     7.2500   -7.011423E-02  1.338923E-01  3.086478E+01
     7.3000   -3.437998E-02  1.294298E-01  3.114707E+01
     7.3500    1.451303E-03  1.242078E-01  3.142761E+01
     7.4000    3.383761E-02  1.182966E-01  3.170602E+01
     7.4500    5.992907E-02  1.117770E-01  3.198179E+01
     7.5000    7.787800E-02  1.047393E-01  3.225428E+01
     7.5500    8.693788E-02  9.718940E-02  3.252328E+01
     7.6000    8.754185E-02  8.933032E-02  3.278628E+01
     7.6500    8.116494E-02  8.128670E-02  3.304146E+01
     7.7000    6.994011E-02  7.320081E-02  3.328632E+01
     7.7500    5.626662E-02  6.523915E-02  3.351740E+01
     7.8000    4.241117E-02  5.760313E-02  3.372998E+01
     7.8500    3.016501E-02  5.054455E-02  3.391801E+01
     7.9000    2.060860E-02  4.438284E-02  3.407463E+01
     7.9500    1.401617E-02  3.950769E-02  3.419485E+01
     8.0000    9.908205E-03  3.632650E-02  3.428126E+01
     8.0500    7.285600E-03  3.519877E-02  3.434903E+01
     8.1000    4.713043E-03  3.604435E-02  3.442639E+01
     8.1500    8.443885E-04  3.847518E-02  3.453557E+01
     8.2000   -5.311725E-03  4.195736E-02  3.468446E+01
     8.2500   -1.414762E-02  4.600648E-02  3.487010E+01
     8.3000   -2.532844E-02  5.026114E-02  3.508567E+01
     8.3500   -3.780260E-02  5.447540E-02  3.532446E+01
     8.4000   -4.994921E-02  5.848942E-02  3.558112E+01
     8.4500   -5.983793E-02  6.220322E-02  3.585166E+01
     8.5000   -6.555744E-02  6.555823E-02  3.613321E+01
     8.5500   -6.561543E-02  6.860733E-02  3.642473E+01
     8.6000   -5.898637E-02  7.124068E-02  3.672360E+01
     8.6500   -4.564376E-02  7.346256E-02  3.702869E+01
     8.7000   -2.652390E-02  7.528928E-02  3.733909E+01
     8.7500   -3.451471E-03  7.674605E-02  3.765412E+01
     8.8000    2.107590E-02  7.786440E-02  3.797321E+01
     8.8500    4.421271E-02  7.867988E-02  3.829583E+01
     8.9000    6.315167E-02  7.923001E-02  3.862154E+01
     8.9500    7.551288E-02  7.955229E-02  3.894987E+01
     9.0000    7.967816E-02  7.968253E-02  3.928038E+01
     9.0500    7.504212E-02  7.967630E-02  3.961265E+01
     9.1000    6.201428E-02  7.951764E-02  3.994623E+01
     9.1500    4.208856E-02  7.923075E-02  4.028067E+01
     9.2000    1.760330E-02  7.883441E-02  4.061551E+01
     9.2500   -8.567851E-03  7.834154E-02  4.095029E+01
     9.3000   -3.339103E-02  7.775931E-02  4.128455E+01
     9.3500   -5.405911E-02  7.708947E-02  4.161786E+01
     9.4000   -6.833701E-02  7.632903E-02  4.194980E+01
     9.4500   -7.481957E-02  7.547119E-02  4.228000E+01
     9.5000   -7.307091E-02  7.450643E-02  4.260812E+01
     9.5500   -6.367091E-02  7.349181E-02  4.293442E+01
     9.6000   -4.792978E-02  7.234743E-02  4.325815E+01
     9.6500   -2.788354E-02  7.106324E-02  4.357908E+01
     9.7000   -5.933206E-03  6.963030E-02  4.389698E+01
     9.7500    1.546917E-02  6.804155E-02  4.421165E+01
     9.8000    3.411746E-02  6.629250E-02  4.452290E+01
     9.8500    4.829369E-02  6.438170E-02  4.483053E+01
     9.9000    5.692788E-02  6.231109E-02  4.513437E+01
     9.9500    5.966194E-02  6.008622E-02  4.543419E+01
    10.0000    5.681804E-02  5.771632E-02  4.572975E+01
    10.0500    4.939940E-02  5.537653E-02  4.602200E+01
    10.1000    3.849483E-02  5.291405E-02  4.630922E+01
    10.1500    2.557971E-02  5.034845E-02  4.659097E+01
    10.2000    1.213518E-02  4.770328E-02  4.686667E+01
    10.2500   -5.303722E-04  4.500621E-02  4.713567E+01
    10.3000   -1.141319E-02  4.228918E-02  4.739716E+01
    10.3500   -1.988689E-02  3.958872E-02  4.765019E+01
    10.4000   -2.571362E-02  3.694629E-02  4.789366E+01
    10.4500   -2.900027E-02  3.440860E-02  4.812639E+01
    10.5000   -3.011326E-02  3.202778E-02  4.834717E+01
    10.5500   -2.956996E-02  2.986081E-02  4.855500E+01
    10.6000   -2.792589E-02  2.796769E-02  4.874936E+01
    10.6500   -2.567534E-02  2.640743E-02  4.893070E+01
    10.7000   -2.317862E-02  2.523128E-02  4.910084E+01
    10.7500   -2.062419E-02  2.447382E-02  4.926320E+01
    10.8000   -1.802738E-02  2.414462E-02  4.942248E+01
    10.8500   -1.526203E-02  2.422405E-02  4.958388E+01
    10.9000   -1.211688E-02  2.466609E-02  4.975197E+01
    10.9500   -8.365477E-03  2.540687E-02  4.992996E+01
    11.0000   -3.837377E-03  2.637531E-02  5.011947E+01
    11.0500    1.616329E-03  2.762475E-02  5.032403E+01
    11.1000    7.851487E-03  2.896816E-02  5.053995E+01
    11.1500    1.456721E-02  3.035396E-02  5.076604E+01
    11.2000    2.129694E-02  3.174119E-02  5.100098E+01
    11.2500    2.745294E-02  3.309810E-02  5.124359E+01
    11.3000    3.239145E-02  3.440033E-02  5.149284E+01
    11.3500    3.549021E-02  3.562928E-02  5.174789E+01
    11.4000    3.622920E-02  3.677054E-02  5.200808E+01
    11.4500    3.426546E-02  3.781272E-02  5.227289E+01
    11.5000    2.949344E-02  3.874651E-02  5.254193E+01
    11.5500    2.208344E-02  3.956403E-02  5.281490E+01
    11.6000    1.249205E-02  4.025843E-02  5.309157E+01
    11.6500    1.440694E-03  4.082371E-02  5.337178E+01
    11.7000   -1.013880E-02  4.125467E-02  5.365538E+01
    11.7500   -2.118914E-02  4.154709E-02  5.394226E+01
    11.8000   -3.063613E-02  4.169788E-02  5.423232E+01
    11.8500   -3.750968E-02  4.170536E-02  5.452546E+01
    11.9000   -4.106282E-02  4.156949E-02  5.482158E+01
    11.9500   -4.087234E-02  4.129207E-02  5.512058E+01
    12.0000   -3.690533E-02  4.087692E-02  5.542234E+01
    12.0500   -2.963938E-02  4.050487E-02  5.572778E+01
    12.1000   -1.963421E-02  4.001744E-02  5.603584E+01
    12.1500   -7.917022E-03  3.942170E-02  5.634646E+01
    12.2000    4.286772E-03  3.872551E-02  5.665959E+01
    12.2500    1.569375E-02  3.793735E-02  5.697516E+01
    12.3000    2.511345E-02  3.706616E-02  5.729307E+01
    12.3500    3.159042E-02  3.612106E-02  5.761322E+01
    12.4000    3.451843E-02  3.511109E-02  5.793547E+01
    12.4500    3.371103E-02  3.404502E-02  5.825965E+01
    12.5000    2.941823E-02  3.293100E-02  5.858556E+01
    12.5500    2.228687E-02  3.177641E-02  5.891295E+01
    12.6000    1.326966E-02  3.058758E-02  5.924153E+01
    12.6500    3.495736E-03  2.936968E-02  5.957095E+01
    12.7000   -5.879055E-03  2.812662E-02  5.990083E+01
    12.7500   -1.382088E-02  2.686101E-02  6.023072E+01
    12.8000   -1.954467E-02  2.557427E-02  6.056011E+01
    12.8500   -2.260131E-02  2.426679E-02  6.088841E+01
    12.9000   -2.291383E-02  2.293819E-02  6.121497E+01
    12.9500   -2.075917E-02  2.158770E-02  6.153901E+01
    13.0000   -1.670027E-02  2.021463E-02  6.185962E+01
    13.0500   -1.149004E-02  1.887706E-02  6.217746E+01
    13.1000   -5.877937E-03  1.751309E-02  6.248958E+01
    13.1500   -6.069907E-04  1.612569E-02  6.279420E+01
    13.2000    3.743530E-03  1.472121E-02  6.308897E+01
    13.2500    6.829804E-03  1.331127E-02  6.337063E+01
    13.3000    8.570447E-03  1.191561E-02  6.363459E+01
    13.3500    9.126493E-03  1.056663E-02  6.387444E+01
    13.4000    8.840099E-03  9.316429E-03  6.408150E+01
    13.4500    8.144689E-03  8.245969E-03  6.424576E+01
    13.5000    7.463830E-03  7.470420E-03  6.436064E+01
    13.5500    7.117800E-03  7.121277E-03  6.443390E+01
    13.6000    7.255027E-03  7.286282E-03  6.449531E+01
    13.6500    7.820860E-03  7.948418E-03  6.458204E+01
    13.7000    8.569241E-03  9.002402E-03  6.471412E+01
    13.7500    9.114992E-03  1.032287E-02  6.489125E+01
    13.8000    9.016969E-03  1.180659E-02  6.510438E+01
    13.8500    7.876684E-03  1.337866E-02  6.534393E+01
    13.9000    5.433941E-03  1.498554E-02  6.560238E+01
    13.9500    1.641385E-03  1.658761E-02  6.587433E+01
    14.0000   -3.296719E-03  1.815412E-02  6.615606E+01
    14.0500   -8.969741E-03  1.971694E-02  6.644573E+01
    14.1000   -1.472193E-02  2.120525E-02  6.674084E+01
    14.1500   -1.978806E-02  2.260055E-02  6.704003E+01
    14.2000   -2.340164E-02  2.388675E-02  6.734236E+01
    14.2500   -2.491745E-02  2.504989E-02  6.764712E+01
    14.3000   -2.392160E-02  2.607799E-02  6.795377E+01
    14.3500   -2.031088E-02  2.696106E-02  6.826191E+01
