 Copper example                                                   Feff 8.50L
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
 Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.964E+00 kf=1.982E+00 Vint=-1.706E+01 Rs_int= 1.830
 PATH  Rmax= 5.200,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   13      icalc       2
 -----------------------------------------------------------------------
   4  12.000   5.1053    2.6317   -7.96446 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
     1.8050    1.8050   -0.0000  1  29 Cu    
     3.6100    3.6100   -0.0000  1  29 Cu    
     1.8050    1.8050   -0.0000  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.8237E+00  5.5650E-07 -1.6465E+00  9.628E-01  1.3636E+01  1.5471E+00
  0.100  3.8253E+00  1.2399E-03 -2.6493E+00  9.632E-01  1.3663E+01  1.5502E+00
  0.200  3.8299E+00  2.5615E-03 -3.6133E+00  9.642E-01  1.3743E+01  1.5595E+00
  0.300  3.8374E+00  3.9940E-03 -4.5376E+00  9.658E-01  1.3871E+01  1.5748E+00
  0.400  3.8473E+00  5.4951E-03 -5.4225E+00  9.680E-01  1.4040E+01  1.5959E+00
  0.500  3.8590E+00  6.9747E-03 -6.2703E+00  9.709E-01  1.4239E+01  1.6227E+00
  0.600  3.8718E+00  8.3375E-03 -7.0849E+00  9.742E-01  1.4455E+01  1.6549E+00
  0.700  3.8850E+00  9.5172E-03 -7.8706E+00  9.781E-01  1.4674E+01  1.6923E+00
  0.800  3.8976E+00  1.0492E-02 -8.6311E+00  9.823E-01  1.4880E+01  1.7344E+00
  0.900  3.9088E+00  1.1266E-02 -9.3716E+00  9.870E-01  1.5054E+01  1.7811E+00
  1.000  3.9178E+00  1.1923E-02 -1.0091E+01  9.920E-01  1.5183E+01  1.8322E+00
  1.100  3.9235E+00  1.2521E-02 -1.0793E+01  9.974E-01  1.5253E+01  1.8872E+00
  1.200  3.9254E+00  1.3168E-02 -1.1476E+01  1.003E+00  1.5255E+01  1.9460E+00
  1.300  3.9227E+00  1.3957E-02 -1.2138E+01  1.009E+00  1.5184E+01  2.0085E+00
  1.400  3.9147E+00  1.4986E-02 -1.2775E+01  1.016E+00  1.5041E+01  2.0745E+00
  1.500  3.9010E+00  1.6334E-02 -1.3379E+01  1.022E+00  1.4832E+01  2.1438E+00
  1.600  3.8812E+00  1.8026E-02 -1.3945E+01  1.029E+00  1.4569E+01  2.2163E+00
  1.700  3.8548E+00  2.0058E-02 -1.4467E+01  1.037E+00  1.4266E+01  2.2921E+00
  1.800  3.8216E+00  2.2367E-02 -1.4943E+01  1.044E+00  1.3940E+01  2.3711E+00
  1.900  3.7812E+00  2.4893E-02 -1.5372E+01  1.051E+00  1.3613E+01  2.4534E+00
  2.000  3.7334E+00  2.7505E-02 -1.5754E+01  1.058E+00  1.3303E+01  2.5390E+00
  2.200  3.6157E+00  3.2040E-02 -1.6386E+01  1.069E+00  1.2825E+01  2.7207E+00
  2.400  3.4252E+00  4.1770E-02 -1.6601E+01  1.100E+00  1.1075E+01  2.9342E+00
  2.600  3.3445E+00  3.0266E-02 -1.6904E+01  1.265E+00  6.6670E+00  3.1074E+00
  2.800  3.3374E+00  1.6136E-02 -1.8070E+01  1.306E+00  5.8165E+00  3.2478E+00
  3.000  3.2954E+00  6.8117E-03 -1.9367E+01  1.314E+00  5.4221E+00  3.3979E+00
  3.200  3.2347E+00  5.0383E-03 -1.6329E+01  1.307E+00  5.2594E+00  3.5546E+00
  3.400  3.1623E+00  2.4751E-02 -1.7615E+01  1.291E+00  5.2208E+00  3.7165E+00
  3.600  3.0828E+00  6.2251E-02 -1.8302E+01  1.270E+00  5.2597E+00  3.8829E+00
  3.800  2.9967E+00  1.2280E-01 -1.8828E+01  1.248E+00  5.3517E+00  4.0535E+00
