# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.9044
#           2       0.00000    100.00      2.00     2   1.9044
#           4       0.00000     28.72      2.00     2   3.2308
#           5       0.00000     28.63      2.00     2   3.2413
#           6       0.00000     28.63      2.00     2   3.2413
#           7       0.00000     10.94      4.00     3   3.2437
#           8       0.00000     10.59      4.00     3   3.2582
#           9       0.00000     28.21      2.00     2   3.2872
#          14       0.00000     17.54      2.00     2   3.8035
#          15       0.00000     17.54      2.00     2   3.8035
#          16       0.00000     47.45      4.00     3   3.8061
#          17       0.00000     47.45      4.00     3   3.8061
#          18       0.00000     16.98      2.00     3   3.8088
#          19       0.00000     16.98      2.00     3   3.8088
#          20       0.00000      7.51      2.00     4   3.8088
#          21       0.00000      7.51      2.00     4   3.8088
#          22       0.00000      7.88      2.00     4   3.8088
#          23       0.00000     32.16      2.00     4   3.8088
#          24       0.00000      7.88      2.00     4   3.8088
#          25       0.00000     32.16      2.00     4   3.8088
#          26       0.00000      7.84      4.00     3   3.8655
#          27       0.00000      7.84      4.00     3   3.8655
#          28       0.00000      8.19      4.00     3   3.8885
#          29       0.00000      8.19      4.00     3   3.8885
#          30       0.00000      7.76      4.00     3   3.9121
#          31       0.00000      7.76      4.00     3   3.9121
#          32       0.00000      7.78      4.00     3   3.9173
#          33       0.00000      7.78      4.00     3   3.9173
#    28/  29 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     3.3500   -3.460672E-01  3.507824E-01  4.876536E+00
     3.4000   -3.232765E-01  3.431913E-01  5.054729E+00
     3.4500   -2.901259E-01  3.350377E-01  5.236139E+00
     3.5000   -2.476242E-01  3.252451E-01  5.417798E+00
     3.5500   -1.984119E-01  3.140073E-01  5.599221E+00
     3.6000   -1.454199E-01  3.015482E-01  5.779970E+00
     3.6500   -9.107538E-02  2.888393E-01  5.962397E+00
     3.7000   -3.816746E-02  2.751209E-01  6.144007E+00
     3.7500    1.074334E-02  2.605887E-01  6.324424E+00
     3.8000    5.358552E-02  2.454478E-01  6.503275E+00
     3.8500    8.906090E-02  2.300644E-01  6.680684E+00
     3.9000    1.161143E-01  2.143317E-01  6.855704E+00
     3.9500    1.344723E-01  1.984310E-01  7.027786E+00
     4.0000    1.444693E-01  1.825454E-01  7.196307E+00
     4.0500    1.468801E-01  1.669763E-01  7.358304E+00
     4.1000    1.431064E-01  1.517642E-01  7.514575E+00
     4.1500    1.346073E-01  1.370734E-01  7.664008E+00
     4.2000    1.229172E-01  1.230629E-01  7.805316E+00
     4.2500    1.100166E-01  1.103680E-01  7.933804E+00
     4.3000    9.674179E-02  9.863463E-02  8.050207E+00
     4.3500    8.410382E-02  8.800408E-02  8.152814E+00
     4.4000    7.281210E-02  7.860189E-02  8.240200E+00
     4.4500    6.386033E-02  7.096144E-02  8.305169E+00
     4.5000    5.683747E-02  6.488512E-02  8.357333E+00
     4.5500    5.137934E-02  6.011662E-02  8.399880E+00
     4.6000    4.722039E-02  5.645533E-02  8.434059E+00
     4.6500    4.501752E-02  5.472901E-02  8.458892E+00
     4.7000    4.358492E-02  5.424408E-02  8.491633E+00
     4.7500    4.233976E-02  5.456461E-02  8.536548E+00
     4.8000    4.090548E-02  5.534652E-02  8.593075E+00
     4.8500    3.966513E-02  5.720848E-02  8.658659E+00
     4.9000    3.768938E-02  5.944658E-02  8.738058E+00
     4.9500    3.470226E-02  6.191228E-02  8.829780E+00
     5.0000    3.050910E-02  6.450528E-02  8.932119E+00
     5.0500    2.516492E-02  6.786585E-02  9.044903E+00
     5.1000    1.812067E-02  7.128522E-02  9.167758E+00
     5.1500    9.346474E-03  7.470612E-02  9.299339E+00
     5.2000   -1.078608E-03  7.808512E-02  9.438592E+00
     5.2500   -1.344154E-02  8.204817E-02  9.589345E+00
     5.3000   -2.721689E-02  8.586442E-02  9.747316E+00
     5.3500   -4.187347E-02  8.948718E-02  9.911722E+00
     5.4000   -5.673498E-02  9.287369E-02  1.008195E+01
     5.4500   -7.172031E-02  9.642273E-02  1.026353E+01
     5.5000   -8.514093E-02  9.959162E-02  1.045014E+01
     5.5500   -9.598849E-02  1.023423E-01  1.064135E+01
     5.6000   -1.033256E-01  1.046408E-01  1.083686E+01
     5.6500   -1.067043E-01  1.068130E-01  1.104069E+01
     5.7000   -1.049804E-01  1.084238E-01  1.124827E+01
     5.7500   -9.788506E-02  1.094514E-01  1.145945E+01
     5.8000   -8.553930E-02  1.098799E-01  1.167413E+01
     5.8500   -6.834077E-02  1.099020E-01  1.189529E+01
     5.9000   -4.720831E-02  1.092688E-01  1.211962E+01
     5.9500   -2.347990E-02  1.079841E-01  1.234718E+01
     6.0000    1.244485E-03  1.060588E-01  1.257810E+01
     6.0500    2.565402E-02  1.036359E-01  1.281651E+01
     6.1000    4.747160E-02  1.005380E-01  1.305813E+01
     6.1500    6.505082E-02  9.679903E-02  1.330330E+01
     6.2000    7.710411E-02  9.246155E-02  1.355252E+01
     6.2500    8.283002E-02  8.757652E-02  1.380642E+01
     6.3000    8.199596E-02  8.220444E-02  1.406593E+01
     6.3500    7.496679E-02  7.641667E-02  1.433228E+01
     6.4000    6.267482E-02  7.029775E-02  1.460718E+01
