# name:     zircon                                               Feff 8.50L  
# formula:  ZrSiO4
# sites:    Zr1,Si1,O1
# refer1:   wyckoff XII,157
# refer2:
# schoen:
# POT  SCF  30  4.4000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
# Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
# Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
# Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
# Gam_ch=4.153E-01 H-L exch
# Mu=-5.477E+00 kf=2.422E+00 Vint=-1.910E+01 Rs_int= 1.498
# PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.938                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.6123
#           2       0.00000      6.38      4.00     3   2.8231
#           3       0.00000     17.03      8.00     3   2.9785
#           4       0.00000     15.96      2.00     2   3.0075
#           5       0.00000     25.80      4.00     4   3.2246
#           6       0.00000      9.28      8.00     4   3.2246
#           7       0.00000      5.57      4.00     4   3.2246
#           8       0.00000     19.77      4.00     2   3.3160
#           9       0.00000     10.51      8.00     3   3.4545
#          10       0.00000     33.64      8.00     2   3.5501
#          11       0.00000     22.27      4.00     2   3.6339
#          12       0.00000     13.68      4.00     2   3.6339
#          13       0.00000     37.57      8.00     3   3.6946
#          14       0.00000     20.15      4.00     4   3.7552
#          15       0.00000     14.76     16.00     3   3.8895
#          16       0.00000      4.59      4.00     4   3.9016
#          17       0.00000     15.00     16.00     3   4.0065
#          18       0.00000      7.07      4.00     4   4.0339
#          19       0.00000     12.38      4.00     2   4.0346
#          20       0.00000     25.64      8.00     3   4.0942
#          21       0.00000     15.14      4.00     4   4.1539
#          22       0.00000      8.53     16.00     4   4.1893
#          23       0.00000      4.78      8.00     3   4.2332
#          24       0.00000     10.33     16.00     3   4.2646
#          25       0.00000     13.30      8.00     4   4.3447
#          26       0.00000     20.36      8.00     2   4.3724
#          27       0.00000      8.32     16.00     3   4.3982
#    27/  27 paths used
#  xsedge+50, used to normalize mu           1.2188E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    1866.779     20.279   2.600  1.35440E+00  1.10082E+00  2.31029E-01
    1867.779     21.279   2.650  1.28761E+00  1.09429E+00  1.77148E-01
    1868.798     22.298   2.700  1.20139E+00  1.08777E+00  1.04730E-01
    1869.836     23.336   2.750  1.10217E+00  1.08124E+00  1.94068E-02
    1870.893     24.394   2.800  9.98243E-01  1.07472E+00 -7.13255E-02
    1871.970     25.470   2.850  8.94326E-01  1.06764E+00 -1.62910E-01
    1873.065     26.565   2.900  8.06909E-01  1.06056E+00 -2.40312E-01
    1874.180     27.680   2.950  7.41392E-01  1.05348E+00 -2.98033E-01
    1875.313     28.813   3.000  7.00316E-01  1.04640E+00 -3.33155E-01
    1876.466     29.966   3.050  6.81692E-01  1.04062E+00 -3.48344E-01
    1877.637     31.137   3.100  6.80216E-01  1.03485E+00 -3.47004E-01
    1878.828     32.328   3.150  6.92967E-01  1.02907E+00 -3.31605E-01
    1880.037     33.538   3.200  7.16223E-01  1.02330E+00 -3.05499E-01
    1881.266     34.766   3.250  7.45439E-01  1.02020E+00 -2.74015E-01
    1882.514     36.014   3.300  7.77983E-01  1.01709E+00 -2.39050E-01
    1883.781     37.281   3.350  8.10464E-01  1.01399E+00 -2.03975E-01
    1885.067     38.567   3.400  8.40018E-01  1.01088E+00 -1.71668E-01
    1886.372     39.872   3.450  8.67248E-01  1.01058E+00 -1.43870E-01
    1887.695     41.196   3.500  8.88963E-01  1.01029E+00 -1.21658E-01
    1889.039     42.539   3.550  9.04475E-01  1.00999E+00 -1.05701E-01
    1890.401     43.901   3.600  9.13943E-01  1.00969E+00 -9.58255E-02
    1891.782     45.282   3.650  9.19768E-01  1.01034E+00 -9.04812E-02
    1893.182     46.682   3.700  9.21680E-01  1.01100E+00 -8.90577E-02
    1894.601     48.101   3.750  9.21328E-01  1.01165E+00 -8.98934E-02
    1896.039     49.539   3.800  9.20551E-01  1.01230E+00 -9.11474E-02
    1897.497     50.997   3.850  9.21480E-01  1.01346E+00 -9.11558E-02
    1898.973     52.473   3.900  9.25010E-01  1.01462E+00 -8.85932E-02
    1900.468     53.969   3.950  9.32309E-01  1.01577E+00 -8.23244E-02
    1901.983     55.483   4.000  9.44020E-01  1.01693E+00 -7.17438E-02
    1903.516     57.017   4.050  9.60110E-01  1.01851E+00 -5.73133E-02
    1905.069     58.569   4.100  9.80195E-01  1.02010E+00 -3.90510E-02
    1906.641     60.141   4.150  1.00335E+00  1.02168E+00 -1.78874E-02
    1908.231     61.731   4.200  1.02826E+00  1.02326E+00  4.86109E-03
    1909.841     63.341   4.250  1.05358E+00  1.02518E+00  2.75691E-02
    1911.470     64.970   4.300  1.07792E+00  1.02710E+00  4.91920E-02
    1913.118     66.618   4.350  1.09975E+00  1.02902E+00  6.82721E-02
    1914.784     68.285   4.400  1.11780E+00  1.03094E+00  8.36178E-02
    1916.470     69.971   4.450  1.13154E+00  1.03273E+00  9.48639E-02
    1918.175     71.675   4.500  1.14088E+00  1.03452E+00  1.01827E-01
    1919.899     73.399   4.550  1.14571E+00  1.03631E+00  1.04460E-01
    1921.642     75.143   4.600  1.14641E+00  1.03810E+00  1.03143E-01
    1923.405     76.905   4.650  1.14458E+00  1.03971E+00  9.96224E-02
    1925.186     78.686   4.700  1.14080E+00  1.04133E+00  9.42875E-02
    1926.986     80.486   4.750  1.13609E+00  1.04294E+00  8.80883E-02
    1928.805     82.305   4.800  1.13137E+00  1.04455E+00  8.19031E-02
    1930.644     84.144   4.850  1.12755E+00  1.04571E+00  7.70825E-02
    1932.501     86.001   4.900  1.12498E+00  1.04687E+00  7.34440E-02
    1934.377     87.877   4.950  1.12371E+00  1.04803E+00  7.10419E-02
    1936.273     89.773   5.000  1.12349E+00  1.04919E+00  6.96263E-02
    1938.187     91.687   5.050  1.12321E+00  1.04955E+00  6.89720E-02
    1940.121     93.621   5.100  1.12266E+00  1.04992E+00  6.80569E-02
    1942.073     95.574   5.150  1.12100E+00  1.05028E+00  6.61080E-02
    1944.045     97.545   5.200  1.11748E+00  1.05065E+00  6.24239E-02
    1946.036     99.536   5.250  1.11071E+00  1.05017E+00  5.65626E-02
    1948.046    101.546   5.300  1.10120E+00  1.04969E+00  4.81366E-02
    1950.074    103.575   5.350  1.08893E+00  1.04921E+00  3.71251E-02
    1952.122    105.622   5.400  1.07428E+00  1.04873E+00  2.38837E-02
    1954.189    107.689   5.450  1.05699E+00  1.04727E+00  9.10212E-03
    1956.275    109.775   5.500  1.03908E+00  1.04581E+00 -6.30568E-03
    1958.380    111.880   5.550  1.02158E+00  1.04435E+00 -2.13654E-02
    1960.504    114.004   5.600  1.00559E+00  1.04289E+00 -3.50464E-02
    1962.647    116.148   5.650  9.91102E-01  1.04048E+00 -4.65171E-02
    1964.810    118.310   5.700  9.79828E-01  1.03807E+00 -5.50055E-02
    1966.991    120.491   5.750  9.72140E-01  1.03566E+00 -6.01407E-02
    1969.191    122.691   5.800  9.68040E-01  1.03326E+00 -6.18955E-02
    1971.410    124.910   5.850  9.66249E-01  1.03000E+00 -6.07107E-02
    1973.649    127.149   5.900  9.67055E-01  1.02673E+00 -5.70358E-02
    1975.906    129.406   5.950  9.69611E-01  1.02347E+00 -5.16572E-02
    1978.183    131.683   6.000  9.72989E-01  1.02021E+00 -4.54493E-02
    1980.478    133.978   6.050  9.75004E-01  1.01581E+00 -3.94570E-02
    1982.793    136.293   6.100  9.76183E-01  1.01141E+00 -3.42197E-02
    1985.126    138.626   6.150  9.76034E-01  1.00700E+00 -3.02289E-02
    1987.479    140.979   6.200  9.74350E-01  1.00260E+00 -2.77058E-02
    1989.851    143.351   6.250  9.71211E-01  9.98194E-01 -2.65916E-02
    1992.241    145.742   6.300  9.66951E-01  9.93790E-01 -2.65777E-02
    1994.651    148.151   6.350  9.62083E-01  9.89386E-01 -2.71683E-02
    1997.080    150.580   6.400  9.57213E-01  9.84982E-01 -2.77666E-02
    1999.528    153.028   6.450  9.52940E-01  9.80578E-01 -2.77716E-02
    2001.995    155.495   6.500  9.49761E-01  9.76174E-01 -2.66709E-02
    2004.481    157.981   6.550  9.47413E-01  9.71251E-01 -2.42030E-02
    2006.986    160.486   6.600  9.46661E-01  9.66328E-01 -2.00785E-02
    2009.510    163.010   6.650  9.47371E-01  9.61406E-01 -1.44068E-02
    2012.053    165.553   6.700  9.49199E-01  9.56483E-01 -7.51929E-03
    2014.616    168.116   6.750  9.51635E-01  9.51560E-01  7.77530E-05
    2017.197    170.697   6.800  9.54084E-01  9.46637E-01  7.77359E-03
    2019.797    173.297   6.850  9.55941E-01  9.41715E-01  1.49349E-02
    2022.417    175.917   6.900  9.56672E-01  9.36792E-01  2.09882E-02
    2025.055    178.555   6.950  9.55877E-01  9.31869E-01  2.54918E-02
    2027.712    181.213   7.000  9.53341E-01  9.26946E-01  2.81870E-02
    2030.389    183.889   7.050  9.49776E-01  9.22549E-01  2.92208E-02
    2033.084    186.585   7.100  9.44685E-01  9.18152E-01  2.86200E-02
    2035.799    189.299   7.150  9.38392E-01  9.13755E-01  2.67085E-02
    2038.533    192.033   7.200  9.31321E-01  9.09358E-01  2.39315E-02
    2041.285    194.786   7.250  9.23946E-01  9.04961E-01  2.07918E-02
    2044.057    197.557   7.300  9.16718E-01  9.00564E-01  1.77825E-02
    2046.848    200.348   7.350  9.10017E-01  8.96167E-01  1.53245E-02
    2049.658    203.158   7.400  9.04103E-01  8.91769E-01  1.37174E-02
    2052.487    205.987   7.450  8.99097E-01  8.87372E-01  1.31086E-02
    2055.335    208.835   7.500  8.94972E-01  8.82975E-01  1.34829E-02
    2058.202    211.702   7.550  8.92675E-01  8.79540E-01  1.48199E-02
    2061.088    214.588   7.600  8.90786E-01  8.76105E-01  1.66304E-02
    2063.993    217.493   7.650  8.88969E-01  8.72669E-01  1.85369E-02
    2066.917    220.417   7.700  8.86870E-01  8.69234E-01  2.01364E-02
    2069.860    223.360   7.750  8.84161E-01  8.65799E-01  2.10502E-02
    2072.823    226.323   7.800  8.80580E-01  8.62364E-01  2.09678E-02
    2075.804    229.304   7.850  8.75957E-01  8.58929E-01  1.96801E-02
    2078.804    232.304   7.900  8.70229E-01  8.55493E-01  1.70990E-02
    2081.824    235.324   7.950  8.63441E-01  8.52058E-01  1.32627E-02
    2084.862    238.362   8.000  8.55741E-01  8.48623E-01  8.32805E-03
    2087.920    241.420   8.050  8.48060E-01  8.45956E-01  2.46946E-03
    2090.996    244.496   8.100  8.39970E-01  8.43289E-01 -3.90665E-03
    2094.092    247.592   8.150  8.31803E-01  8.40622E-01 -1.04135E-02
    2097.207    250.707   8.200  8.23896E-01  8.37955E-01 -1.66535E-02
    2100.340    253.840   8.250  8.16565E-01  8.35288E-01 -2.22478E-02
    2103.493    256.993   8.300  8.10086E-01  8.32621E-01 -2.68616E-02
    2106.665    260.165   8.350  8.04678E-01  8.29954E-01 -3.02240E-02
    2109.856    263.356   8.400  8.00491E-01  8.27287E-01 -3.21429E-02
    2113.066    266.566   8.450  7.97600E-01  8.24620E-01 -3.25144E-02
    2116.295    269.795   8.500  7.96002E-01  8.21953E-01 -3.13285E-02
    2119.543    273.043   8.550  7.95788E-01  8.19497E-01 -2.87080E-02
    2122.810    276.310   8.600  7.96633E-01  8.17041E-01 -2.47855E-02
    2126.096    279.596   8.650  7.98309E-01  8.14586E-01 -1.98274E-02
    2129.401    282.901   8.700  8.00531E-01  8.12130E-01 -1.41721E-02
    2132.725    286.225   8.750  8.02974E-01  8.09675E-01 -8.21221E-03
    2136.068    289.568   8.800  8.05291E-01  8.07219E-01 -2.37038E-03
    2139.431    292.931   8.850  8.07140E-01  8.04764E-01  2.93023E-03
    2142.812    296.312   8.900  8.08211E-01  8.02308E-01  7.29953E-03
    2146.212    299.713   8.950  8.08249E-01  7.99853E-01  1.04159E-02
    2149.632    303.132   9.000  8.07089E-01  7.97397E-01  1.20600E-02
    2153.070    306.571   9.050  8.04320E-01  7.94581E-01  1.21632E-02
    2156.528    310.028   9.100  8.00349E-01  7.91766E-01  1.07597E-02
    2160.005    313.505   9.150  7.95355E-01  7.88950E-01  8.05971E-03
    2163.500    317.000   9.200  7.89630E-01  7.86134E-01  4.41568E-03
    2167.015    320.515   9.250  7.83550E-01  7.83318E-01  2.93733E-04
    2170.549    324.049   9.300  7.77539E-01  7.80502E-01 -3.77109E-03
    2174.102    327.602   9.350  7.72026E-01  7.77686E-01 -7.23097E-03
    2177.673    331.173   9.400  7.67394E-01  7.74870E-01 -9.58722E-03
    2181.264    334.764   9.450  7.63935E-01  7.72055E-01 -1.04507E-02
    2184.874    338.374   9.500  7.61814E-01  7.69239E-01 -9.59279E-03
    2188.503    342.003   9.550  7.60499E-01  7.65838E-01 -6.93142E-03
    2192.151    345.651   9.600  7.60383E-01  7.62437E-01 -2.67934E-03
    2195.818    349.319   9.650  7.61162E-01  7.59036E-01  2.78714E-03
    2199.505    353.005   9.700  7.62415E-01  7.55635E-01  8.93031E-03
    2203.210    356.710   9.750  7.63650E-01  7.52233E-01  1.51094E-02
    2206.934    360.434   9.800  7.64363E-01  7.48832E-01  2.06537E-02
    2210.677    364.177   9.850  7.64094E-01  7.45431E-01  2.49408E-02
    2214.440    367.940   9.900  7.62485E-01  7.42030E-01  2.74715E-02
    2218.221    371.721   9.950  7.59323E-01  7.38629E-01  2.79303E-02
