 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  SCF  30  4.4000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu=-5.477E+00 kf=2.422E+00 Vint=-1.910E+01 Rs_int= 1.498
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    9      icalc       2
 -----------------------------------------------------------------------
   3   8.000   3.4545    2.2389   -5.47671 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
    -0.0000   -0.0000    3.0075  1  40 Zr    
    -0.8562   -0.8562    1.0647  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1737E+01  8.8193E-05 -1.4237E+01  9.935E-01  6.9391E+01  1.8908E+00
  0.100  1.1738E+01  5.8879E-02 -1.4908E+01  9.936E-01  6.9482E+01  1.8933E+00
  0.200  1.1741E+01  1.1537E-01 -1.5535E+01  9.939E-01  6.9740E+01  1.9009E+00
  0.300  1.1746E+01  1.6716E-01 -1.6121E+01  9.944E-01  7.0117E+01  1.9134E+00
  0.400  1.1752E+01  2.1215E-01 -1.6667E+01  9.951E-01  7.0533E+01  1.9308E+00
  0.500  1.1760E+01  2.4866E-01 -1.7177E+01  9.959E-01  7.0879E+01  1.9530E+00
  0.600  1.1767E+01  2.7561E-01 -1.7654E+01  9.969E-01  7.1023E+01  1.9797E+00
  0.700  1.1773E+01  2.9271E-01 -1.8100E+01  9.980E-01  7.0825E+01  2.0109E+00
  0.800  1.1778E+01  3.0045E-01 -1.8518E+01  9.993E-01  7.0149E+01  2.0464E+00
  0.900  1.1781E+01  2.9998E-01 -1.8912E+01  1.001E+00  6.8891E+01  2.0859E+00
  1.000  1.1780E+01  2.9285E-01 -1.9284E+01  1.002E+00  6.6997E+01  2.1292E+00
  1.100  1.1777E+01  2.8066E-01 -1.9634E+01  1.004E+00  6.4478E+01  2.1763E+00
  1.200  1.1769E+01  2.6497E-01 -1.9963E+01  1.006E+00  6.1409E+01  2.2268E+00
  1.300  1.1758E+01  2.4707E-01 -2.0272E+01  1.008E+00  5.7918E+01  2.2807E+00
  1.400  1.1742E+01  2.2798E-01 -2.0560E+01  1.010E+00  5.4162E+01  2.3378E+00
  1.500  1.1721E+01  2.0847E-01 -2.0825E+01  1.013E+00  5.0299E+01  2.3979E+00
  1.600  1.1697E+01  1.8914E-01 -2.1067E+01  1.015E+00  4.6474E+01  2.4609E+00
  1.700  1.1667E+01  1.7028E-01 -2.1283E+01  1.018E+00  4.2799E+01  2.5267E+00
  1.800  1.1634E+01  1.5226E-01 -2.1469E+01  1.022E+00  3.9357E+01  2.5953E+00
