 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  SCF  30  4.4000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu=-5.477E+00 kf=2.422E+00 Vint=-1.910E+01 Rs_int= 1.498
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   16      icalc       2
 -----------------------------------------------------------------------
   4   4.000   3.9016    2.2389   -5.47671 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
    -0.8562    0.8562   -1.0647  3   8 O     
    -0.0000   -0.0000   -3.0075  1  40 Zr    
    -0.8562    0.8562   -1.0647  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  1.200  1.1769E+01  3.1207E-01 -1.7231E+01  1.006E+00  6.1409E+01  2.2268E+00
  1.300  1.1758E+01  2.8749E-01 -1.7594E+01  1.008E+00  5.7918E+01  2.2807E+00
  1.400  1.1742E+01  2.6234E-01 -1.7935E+01  1.010E+00  5.4162E+01  2.3378E+00
  1.500  1.1721E+01  2.3765E-01 -1.8253E+01  1.013E+00  5.0299E+01  2.3979E+00
  1.600  1.1697E+01  2.1407E-01 -1.8546E+01  1.015E+00  4.6474E+01  2.4609E+00
  1.700  1.1667E+01  1.9206E-01 -1.8814E+01  1.018E+00  4.2799E+01  2.5267E+00
  1.800  1.1634E+01  1.7192E-01 -1.9056E+01  1.022E+00  3.9357E+01  2.5953E+00
  1.900  1.1596E+01  1.5361E-01 -1.9269E+01  1.025E+00  3.6199E+01  2.6665E+00
  2.000  1.1553E+01  1.3748E-01 -1.9454E+01  1.028E+00  3.3350E+01  2.7404E+00
  2.200  1.1456E+01  1.1077E-01 -1.9742E+01  1.035E+00  2.8599E+01  2.8960E+00
  2.400  1.1343E+01  8.7099E-02 -1.9916E+01  1.041E+00  2.5055E+01  3.0621E+00
  2.600  1.1213E+01  6.5516E-02 -2.0102E+01  1.046E+00  2.2618E+01  3.2397E+00
  2.800  1.1041E+01  5.0597E-02 -2.0226E+01  1.053E+00  2.0071E+01  3.4428E+00
  3.000  1.0932E+01  5.2185E-02 -2.0501E+01  1.175E+00  9.1216E+00  3.6204E+00
  3.200  1.0893E+01  4.9674E-02 -2.0804E+01  1.207E+00  7.4894E+00  3.7652E+00
  3.400  1.0837E+01  4.3972E-02 -2.0958E+01  1.205E+00  6.7474E+00  3.9129E+00
  3.600  1.0760E+01  3.7735E-02 -2.0964E+01  1.198E+00  6.3770E+00  4.0686E+00
  3.800  1.0676E+01  3.3118E-02 -2.0888E+01  1.187E+00  6.2008E+00  4.2288E+00
  4.000  1.0593E+01  2.9804E-02 -2.0821E+01  1.173E+00  6.1395E+00  4.3932E+00
  4.200  1.0510E+01  2.5365E-02 -2.0796E+01  1.159E+00  6.1537E+00  4.5612E+00
  4.400  1.0431E+01  1.8997E-02 -2.0773E+01  1.146E+00  6.2214E+00  4.7325E+00
  4.600  1.0355E+01  1.1508E-02 -2.0601E+01  1.129E+00  6.3291E+00  4.9067E+00
  4.800  1.0283E+01  7.1857E-03 -1.9792E+01  1.116E+00  6.4684E+00  5.0836E+00
  5.000  1.0215E+01  1.1857E-02 -1.9074E+01  1.103E+00  6.6333E+00  5.2627E+00
  5.200  1.0151E+01  1.8874E-02 -1.8972E+01  1.090E+00  6.8197E+00  5.4439E+00
  5.400  1.0089E+01  2.5090E-02 -1.9036E+01  1.079E+00  7.0245E+00  5.6269E+00
  5.600  1.0029E+01  2.9975E-02 -1.9152E+01  1.070E+00  7.2455E+00  5.8115E+00
  5.800  9.9693E+00  3.3572E-02 -1.9297E+01  1.061E+00  7.4810E+00  5.9975E+00
  6.000  9.9099E+00  3.6003E-02 -1.9454E+01  1.054E+00  7.7296E+00  6.1848E+00
