# Uraninite                                                      Feff 8.50L  
# Wyckoff, R. W. G.
# Second edition. Interscience Publishers, New York, New York
# Fluorite structure
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
# Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
# Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
# Gam_ch=8.104E+00 H-L exch
# Mu=-8.114E+00 kf=2.112E+00 Vint=-1.836E+01 Rs_int= 1.717
# PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.909                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3678
#           2       0.00000      7.81     24.00     3   3.7349
#           3       0.00000     55.64     12.00     2   3.8666
#           4       0.00000      8.54     24.00     3   4.3011
#           5       0.00000      9.11     48.00     3   4.3011
#           6       0.00000     31.04     24.00     2   4.5340
#           7       0.00000      5.77      8.00     3   4.7356
#           8       0.00000     17.88      8.00     4   4.7356
#           9       0.00000      5.91      8.00     4   4.7356
#          10       0.00000      6.21     24.00     4   4.7356
#          11       0.00000     13.45     48.00     3   4.8179
#          12       0.00000      4.51     24.00     4   5.1019
#          13       0.00000      7.49     96.00     3   5.3842
#          14       0.00000      4.84     96.00     3   5.3842
#          15       0.00000     15.29     96.00     3   5.3842
#          16       0.00000     10.03      6.00     2   5.4682
#    16/  16 paths used
#  xsedge+50, used to normalize mu           2.2249E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   17199.372     26.176   3.000  1.02867E+00  9.94174E-01  3.51412E-02
   17200.524     27.329   3.050  1.05664E+00  9.93273E-01  6.45074E-02
   17201.696     28.500   3.100  1.08091E+00  9.92372E-01  9.00623E-02
   17202.887     29.691   3.150  1.09999E+00  9.91471E-01  1.10310E-01
   17204.096     30.901   3.200  1.11285E+00  9.90570E-01  1.24215E-01
   17205.325     32.129   3.250  1.12183E+00  9.91387E-01  1.32299E-01
   17206.573     33.377   3.300  1.12384E+00  9.92203E-01  1.33288E-01
   17207.839     34.644   3.350  1.11928E+00  9.93020E-01  1.27648E-01
   17209.125     35.930   3.400  1.10909E+00  9.93837E-01  1.16335E-01
   17210.430     37.235   3.450  1.09469E+00  9.95037E-01  1.00376E-01
   17211.754     38.559   3.500  1.07716E+00  9.96237E-01  8.13372E-02
   17213.097     39.902   3.550  1.05820E+00  9.97437E-01  6.09459E-02
   17214.459     41.264   3.600  1.03943E+00  9.98637E-01  4.08270E-02
   17215.840     42.645   3.650  1.02241E+00  1.00032E+00  2.20650E-02
   17217.241     44.045   3.700  1.00810E+00  1.00201E+00  6.07808E-03
   17218.660     45.464   3.750  9.97096E-01  1.00369E+00 -6.56531E-03
   17220.098     46.902   3.800  9.89457E-01  1.00538E+00 -1.58157E-02
   17221.555     48.360   3.850  9.84633E-01  1.00667E+00 -2.18682E-02
   17223.032     49.836   3.900  9.81998E-01  1.00797E+00 -2.57357E-02
   17224.527     51.332   3.950  9.80527E-01  1.00927E+00 -2.84421E-02
   17226.042     52.846   4.000  9.79233E-01  1.01056E+00 -3.09665E-02
   17227.575     54.380   4.050  9.76720E-01  1.01136E+00 -3.42116E-02
   17229.128     55.932   4.100  9.73033E-01  1.01216E+00 -3.86103E-02
   17230.699     57.504   4.150  9.68282E-01  1.01296E+00 -4.40512E-02
   17232.290     59.094   4.200  9.63032E-01  1.01376E+00 -4.99753E-02
   17233.900     60.704   4.250  9.57182E-01  1.01396E+00 -5.59351E-02
   17235.529     62.333   4.300  9.52810E-01  1.01416E+00 -6.04372E-02
   17237.176     63.981   4.350  9.50962E-01  1.01437E+00 -6.24532E-02
   17238.843     65.648   4.400  9.52353E-01  1.01457E+00 -6.12784E-02
   17240.529     67.333   4.450  9.56617E-01  1.01421E+00 -5.67281E-02
   17242.234     69.038   4.500  9.64274E-01  1.01385E+00 -4.88347E-02
   17243.958     70.762   4.550  9.74552E-01  1.01349E+00 -3.83589E-02
   17245.701     72.506   4.600  9.86344E-01  1.01314E+00 -2.63916E-02
   17247.463     74.268   4.650  9.98312E-01  1.01250E+00 -1.39804E-02
   17249.244     76.049   4.700  1.00952E+00  1.01186E+00 -2.31038E-03
   17251.045     77.849   4.750  1.01912E+00  1.01123E+00  7.78823E-03
   17252.864     79.668   4.800  1.02673E+00  1.01059E+00  1.59204E-02
   17254.702     81.507   4.850  1.03234E+00  1.00980E+00  2.22297E-02
   17256.560     83.364   4.900  1.03635E+00  1.00901E+00  2.69731E-02
   17258.436     85.240   4.950  1.03936E+00  1.00822E+00  3.07237E-02
   17260.332     87.136   5.000  1.04193E+00  1.00744E+00  3.40392E-02
   17262.246     89.050   5.050  1.04478E+00  1.00687E+00  3.74056E-02
   17264.180     90.984   5.100  1.04756E+00  1.00631E+00  4.07129E-02
   17266.132     92.937   5.150  1.04998E+00  1.00574E+00  4.36559E-02
   17268.104     94.908   5.200  1.05144E+00  1.00518E+00  4.56604E-02
   17270.095     96.899   5.250  1.05141E+00  1.00473E+00  4.60498E-02
   17272.104     98.909   5.300  1.04904E+00  1.00428E+00  4.41388E-02
   17274.133    100.938   5.350  1.04399E+00  1.00384E+00  3.95823E-02
   17276.181    102.985   5.400  1.03629E+00  1.00339E+00  3.24186E-02
   17278.248    105.052   5.450  1.02675E+00  1.00338E+00  2.30156E-02
   17280.334    107.138   5.500  1.01585E+00  1.00337E+00  1.22858E-02
   17282.439    109.243   5.550  1.00467E+00  1.00335E+00  1.29467E-03
   17284.563    111.367   5.600  9.94315E-01  1.00334E+00 -8.87206E-03
