 Uraninite                                                        Feff 8.50L
 Wyckoff, R. W. G.
 Second edition. Interscience Publishers, New York, New York
 Fluorite structure
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
 Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
 Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
 Gam_ch=8.104E+00 H-L exch
 Mu=-8.114E+00 kf=2.112E+00 Vint=-1.836E+01 Rs_int= 1.717
 PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    8      icalc       2
 -----------------------------------------------------------------------
   4   8.000   4.7356    2.5893   -8.11371 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -1.3671    1.3671    1.3671  2   8 O     
    -0.0000   -0.0000   -0.0000  0  92 U     
     1.3671   -1.3671   -1.3671  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  1.300  1.5986E+01  2.8784E+00 -2.6889E+01  9.868E-01  3.8239E+00  2.0961E+00
  1.400  1.5966E+01  2.8233E+00 -2.7314E+01  1.030E+00  3.9017E+00  2.1582E+00
  1.500  1.5938E+01  2.7532E+00 -2.7715E+01  1.068E+00  3.9777E+00  2.2237E+00
  1.600  1.5905E+01  2.6730E+00 -2.8092E+01  1.100E+00  4.0511E+00  2.2923E+00
  1.700  1.5864E+01  2.5863E+00 -2.8445E+01  1.126E+00  4.1216E+00  2.3641E+00
  1.800  1.5816E+01  2.4964E+00 -2.8774E+01  1.147E+00  4.1892E+00  2.4389E+00
  1.900  1.5762E+01  2.4047E+00 -2.9078E+01  1.164E+00  4.2541E+00  2.5168E+00
  2.000  1.5702E+01  2.3124E+00 -2.9356E+01  1.177E+00  4.3173E+00  2.5979E+00
  2.200  1.5563E+01  2.1345E+00 -2.9822E+01  1.188E+00  4.4448E+00  2.7694E+00
  2.400  1.5383E+01  1.8364E+00 -3.0119E+01  1.180E+00  4.5960E+00  2.9592E+00
  2.600  1.5161E+01  1.8377E+00 -3.0420E+01  1.294E+00  3.9893E+00  3.1683E+00
  2.800  1.5078E+01  2.0147E+00 -3.0898E+01  1.395E+00  3.5622E+00  3.3230E+00
  3.000  1.5033E+01  2.0302E+00 -3.1351E+01  1.437E+00  3.4058E+00  3.4652E+00
  3.200  1.4970E+01  1.9031E+00 -3.1725E+01  1.451E+00  3.3495E+00  3.6180E+00
  3.400  1.4903E+01  1.6926E+00 -3.2038E+01  1.449E+00  3.3529E+00  3.7760E+00
  3.600  1.4832E+01  1.4360E+00 -3.2294E+01  1.436E+00  3.3943E+00  3.9387E+00
  3.800  1.4756E+01  1.1778E+00 -3.2501E+01  1.419E+00  3.4623E+00  4.1056E+00
  4.000  1.4676E+01  9.4414E-01 -3.2671E+01  1.398E+00  3.5503E+00  4.2763E+00
  4.200  1.4590E+01  7.5349E-01 -3.2803E+01  1.373E+00  3.6538E+00  4.4503E+00
  4.400  1.4497E+01  6.0704E-01 -3.2910E+01  1.348E+00  3.7701E+00  4.6273E+00
  4.600  1.4397E+01  4.9833E-01 -3.2999E+01  1.319E+00  3.8969E+00  4.8068E+00
