# 1-bromo-adamantane                                             Feff 8.50L  
# POT  SCF  30  8.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu=-6.087E+00 kf=2.184E+00 Vint=-1.447E+01 Rs_int= 1.661
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    110.70      3.00     2   2.8567
#           3       0.00000     42.06      6.00     2   3.0185
#           4       0.00000     68.79      4.00     3   3.1734
#           5       0.00000     34.41      2.00     3   3.1732
#           6       0.00000     23.47      8.00     3   3.4865
#           7       0.00000     11.73      4.00     3   3.4868
#           8       0.00000      7.70      1.00     4   3.4898
#           9       0.00000     15.40      2.00     4   3.4899
#     9/   9 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     4.2500   -6.120637E-03  1.571477E-02  9.824848E+00
     4.3000   -8.093582E-03  1.473612E-02  1.000623E+01
     4.3500   -9.498278E-03  1.374314E-02  1.018783E+01
     4.4000   -1.032540E-02  1.274186E-02  1.036953E+01
     4.4500   -1.058920E-02  1.171862E-02  1.055293E+01
     4.5000   -1.033728E-02  1.070068E-02  1.073422E+01
     4.5500   -9.674500E-03  9.706135E-03  1.091482E+01
     4.6000   -8.690137E-03  8.734981E-03  1.109695E+01
     4.6500   -7.453412E-03  7.756233E-03  1.127593E+01
     4.7000   -6.080549E-03  6.778819E-03  1.145345E+01
     4.7500   -4.682055E-03  5.807899E-03  1.162875E+01
     4.8000   -3.360795E-03  4.848603E-03  1.180052E+01
     4.8500   -2.226169E-03  3.922592E-03  1.196287E+01
     4.9000   -1.325664E-03  3.014886E-03  1.211110E+01
     4.9500   -7.072125E-04  2.133697E-03  1.222853E+01
     5.0000   -3.939065E-04  1.297672E-03  1.225796E+01
     5.0500   -3.833568E-04  6.198031E-04  1.189952E+01
     5.1000   -6.471747E-04  6.695413E-04  1.073637E+01
     5.1500   -1.140215E-03  1.320797E-03  1.046651E+01
     5.2000   -1.800573E-03  2.031876E-03  1.051378E+01
     5.2500   -2.543559E-03  2.716959E-03  1.063638E+01
     5.3000   -3.302287E-03  3.375623E-03  1.078675E+01
     5.3500   -3.998139E-03  4.002247E-03  1.095026E+01
     5.4000   -4.557722E-03  4.593751E-03  1.112090E+01
     5.4500   -4.908533E-03  5.137617E-03  1.129532E+01
     5.5000   -5.013499E-03  5.643931E-03  1.147274E+01
     5.5500   -4.841079E-03  6.111683E-03  1.165212E+01
     5.6000   -4.378782E-03  6.540200E-03  1.183281E+01
     5.6500   -3.630433E-03  6.927235E-03  1.201473E+01
     5.7000   -2.623513E-03  7.275486E-03  1.219746E+01
     5.7500   -1.399978E-03  7.584974E-03  1.238073E+01
     5.8000   -1.591375E-05  7.855941E-03  1.256434E+01
     5.8500    1.468575E-03  8.088597E-03  1.274894E+01
     5.9000    2.975667E-03  8.283954E-03  1.293379E+01
     5.9500    4.430148E-03  8.442715E-03  1.311877E+01
     6.0000    5.759412E-03  8.565748E-03  1.330379E+01
     6.0500    6.920597E-03  8.665651E-03  1.349138E+01
     6.1000    7.831030E-03  8.731213E-03  1.367908E+01
     6.1500    8.445247E-03  8.763521E-03  1.386683E+01
     6.2000    8.733918E-03  8.763791E-03  1.405458E+01
     6.2500    8.685176E-03  8.733358E-03  1.424226E+01
     6.3000    8.304830E-03  8.673664E-03  1.442984E+01
     6.3500    7.615516E-03  8.586242E-03  1.461728E+01
     6.4000    6.654875E-03  8.472708E-03  1.480454E+01
     6.4500    5.472924E-03  8.334746E-03  1.499161E+01
     6.5000    4.128832E-03  8.174094E-03  1.517845E+01
     6.5500    2.669344E-03  8.033694E-03  1.536926E+01
     6.6000    1.161317E-03  7.872777E-03  1.555991E+01
     6.6500   -3.264120E-04  7.692953E-03  1.575041E+01
     6.7000   -1.729044E-03  7.495856E-03  1.594073E+01
     6.7500   -2.989081E-03  7.283126E-03  1.613087E+01
     6.8000   -4.058990E-03  7.056397E-03  1.632084E+01
     6.8500   -4.903138E-03  6.817288E-03  1.651064E+01
     6.9000   -5.498928E-03  6.567383E-03  1.670031E+01
     6.9500   -5.837151E-03  6.308231E-03  1.688985E+01
     7.0000   -5.921568E-03  6.041328E-03  1.707931E+01
     7.0500   -5.836761E-03  5.836927E-03  1.727121E+01
     7.1000   -5.530938E-03  5.626052E-03  1.746290E+01
     7.1500   -5.032508E-03  5.409798E-03  1.765444E+01
     7.2000   -4.376814E-03  5.189180E-03  1.784588E+01
     7.2500   -3.603914E-03  4.965126E-03  1.803729E+01
     7.3000   -2.756327E-03  4.738482E-03  1.822875E+01
     7.3500   -1.876854E-03  4.510009E-03  1.842035E+01
     7.4000   -1.006570E-03  4.280389E-03  1.861217E+01
     7.4500   -1.830421E-04  4.050236E-03  1.880435E+01
     7.5000    5.611553E-04  3.820102E-03  1.899698E+01
     7.5500    1.227035E-03  3.652964E-03  1.919212E+01
     7.6000    1.785400E-03  3.484271E-03  1.938755E+01
     7.6500    2.219654E-03  3.314297E-03  1.958339E+01
     7.7000    2.520042E-03  3.143278E-03  1.977973E+01
     7.7500    2.683750E-03  2.971423E-03  1.997669E+01
     7.8000    2.714692E-03  2.798923E-03  2.017440E+01
     7.8500    2.623013E-03  2.625957E-03  2.037299E+01
     7.9000    2.424325E-03  2.452705E-03  2.057262E+01
     7.9500    2.138720E-03  2.279355E-03  2.077347E+01
     8.0000    1.789567E-03  2.106112E-03  2.097573E+01
     8.0500    1.420692E-03  1.962856E-03  2.118187E+01
     8.1000    1.028482E-03  1.817259E-03  2.138956E+01
     8.1500    6.378826E-04  1.669491E-03  2.159910E+01
     8.2000    2.724316E-04  1.519756E-03  2.181091E+01
     8.2500   -4.714089E-05  1.368299E-03  2.202561E+01
     8.3000   -3.041569E-04  1.215415E-03  2.224409E+01
     8.3500   -4.869902E-04  1.061472E-03  2.246778E+01
     8.4000   -5.897518E-04  9.069479E-04  2.269908E+01
     8.4500   -6.126069E-04  7.525117E-04  2.294230E+01
     8.5000   -5.616917E-04  5.992373E-04  2.320608E+01
     8.5500   -4.512294E-04  4.518834E-04  2.350814E+01
     8.6000   -2.938816E-04  3.115512E-04  2.390035E+01
     8.6500   -1.090423E-04  1.968290E-04  2.454559E+01
     8.7000    8.170830E-05  1.727857E-04  2.562531E+01
     8.7500    2.562380E-04  2.656367E-04  2.643673E+01
     8.8000    3.935678E-04  4.006723E-04  2.689213E+01
     8.8500    4.755258E-04  5.467663E-04  2.721973E+01
     8.9000    4.882288E-04  6.960414E-04  2.749692E+01
     8.9500    4.232780E-04  8.457305E-04  2.775017E+01
     9.0000    2.785744E-04  9.944744E-04  2.799041E+01
     9.0500    5.708368E-05  1.137757E-03  2.822414E+01
     9.1000   -2.262304E-04  1.277839E-03  2.845231E+01
     9.1500   -5.538688E-04  1.414203E-03  2.867676E+01
     9.2000   -9.038755E-04  1.546412E-03  2.889860E+01
     9.2500   -1.251312E-03  1.674075E-03  2.911857E+01
     9.3000   -1.569978E-03  1.796841E-03  2.933718E+01
     9.3500   -1.834253E-03  1.914387E-03  2.955477E+01
     9.4000   -2.020940E-03  2.026417E-03  2.977159E+01
     9.4500   -2.110982E-03  2.132660E-03  2.998783E+01
     9.5000   -2.090915E-03  2.232869E-03  3.020363E+01
     9.5500   -1.943659E-03  2.313604E-03  3.041846E+01
     9.6000   -1.683808E-03  2.386808E-03  3.063285E+01
     9.6500   -1.321396E-03  2.452395E-03  3.084689E+01
     9.7000   -8.731608E-04  2.510309E-03  3.106067E+01
     9.7500   -3.615560E-04  2.560522E-03  3.127425E+01
     9.8000    1.866214E-04  2.603033E-03  3.148768E+01
     9.8500    7.418849E-04  2.637868E-03  3.170102E+01
     9.9000    1.273890E-03  2.665080E-03  3.191430E+01
     9.9500    1.753320E-03  2.684748E-03  3.212755E+01
    10.0000    2.153699E-03  2.696977E-03  3.234083E+01
    10.0500    2.449179E-03  2.698192E-03  3.255372E+01
    10.1000    2.626509E-03  2.691454E-03  3.276660E+01
    10.1500    2.676893E-03  2.676964E-03  3.297944E+01
    10.2000    2.599108E-03  2.654971E-03  3.319222E+01
    10.2500    2.399458E-03  2.625768E-03  3.340495E+01
    10.3000    2.091208E-03  2.589686E-03  3.361759E+01
    10.3500    1.693567E-03  2.547095E-03  3.383016E+01
    10.4000    1.230302E-03  2.498394E-03  3.404263E+01
    10.4500    7.280936E-04  2.444008E-03  3.425502E+01
    10.5000    2.147790E-04  2.384380E-03  3.446732E+01
    10.5500   -2.824098E-04  2.319970E-03  3.467955E+01
    10.6000   -7.384725E-04  2.251245E-03  3.489174E+01
    10.6500   -1.132034E-03  2.178673E-03  3.510390E+01
    10.7000   -1.446424E-03  2.102722E-03  3.531609E+01
    10.7500   -1.670391E-03  2.023850E-03  3.552835E+01
    10.8000   -1.798431E-03  1.942503E-03  3.574075E+01
    10.8500   -1.830737E-03  1.859114E-03  3.595337E+01
    10.9000   -1.772812E-03  1.774093E-03  3.616632E+01
    10.9500   -1.634782E-03  1.687831E-03  3.637970E+01
